연번,업체명,대표자,전화번호,소재지(도로명주소),데이터기준일자
21,렛미펫,이승희,051-201-1652,"부산광역시 사하구 낙동대로390번길 20, 1동 1층 4호 (당리동)",2022-04-25
22,강아지나라,김기철,051-261-4270,부산광역시 사하구 장림시장6길 3 (장림동),2022-04-25
23,라온 동물병원,정라원,051-291-7900,"부산광역시 사하구 낙동대로 511, 1층 (하단동)",2022-04-25
24,사하펫,정경희,051-206-9999,"부산광역시 사하구 낙동대로 350, 1층 (당리동)",2022-04-25
25,고양이 무마취 미용전문,천미숙,051-831-3804,부산광역시 사하구 하신번영로300번길 65 (하단동),2022-04-25
26,참조은동물병원,표병민,051-292-0141,부산광역시 사하구 낙동대로295번길 1 (괴정동),2022-04-25
27,강아지네집,김영애,051-293-2333,부산광역시 사하구 옥천로 71 (감천동),2022-04-25
28,부산애견팡팡,이서연,,"부산광역시 사하구 감천로 38, 2층 (감천동, 감천현대아파트)",2022-04-25
29,삼성종합동물병원,여광영,051-205-1017,"부산광역시 사하구 감천로 32, 2층 (감천동, 감천백산아파트)",2022-04-25
30,플랜다스애견,유성희,,부산광역시 사하구 하신번영로201번길 17 (신평동),2022-04-25
31,멍스,박민선,051-291-6366,"부산광역시 사하구 괴정로 234, 한성아파트 (괴정동)",2022-04-25
32,주주클럽 애견샵,박애숙,051-291-3618,부산광역시 사하구 다대로134번길 4 (신평동),2022-04-25
33,하단동물병원,두은덕,051-291-4456,부산광역시 사하구 하신중앙로 302-1 (하단동),2022-04-25
34,펫스타일,한영애,,"부산광역시 사하구 승학로71번길 146, 1동 1층 3호 (당리동, 경보이리스힐 당리)",2022-04-25
35,돈워리퍼피,곽오례,,"부산광역시 사하구 다대로 395-1, 3층 (다대동)",2022-04-25
36,씨티독,김경재,,"부산광역시 사하구 다대로 555-4, 4층 (다대동)",2022-04-25
37,우리집 똥강아지,박미정,,부산광역시 사하구 다대로130번길 158 (신평동),2022-04-25
38,펫 목욕하는날,이동욱,,부산광역시 사하구 낙동대로234번길 28 (괴정동),2022-04-25
39,살랑살랑,강우주,051-204-8720,"부산광역시 사하구 낙동남로 1356, 1층 1호 (하단동, 에덴파크)",2022-04-25
40,크리스애견,이태훈,,부산광역시 사하구 다대낙조1길 9 (다대동),2022-04-25
41,꽃님이랑,유계화,051-265-9319,부산광역시 사하구 다대로 513 (다대동),2022-04-25
42,스마트동물병원,서재범,051-261-1891,"부산광역시 사하구 다대로 624, 1층 (다대동)",2022-04-25
43,바른개 생활,양영혜,,"부산광역시 사하구 동매로 64, 1층 (하단동)",2022-04-25
44,멍멍이 미용실,강은정,,부산광역시 사하구 옥천로 32 (감천동),2022-04-25
45,샵돌봄,이인숙,,"부산광역시 사하구 다대로 258, 2층 (장림동)",2022-04-25
46,도그살롱,조시은,,"부산광역시 사하구 사하로156번길 8, 1층 (괴정동)",2022-04-25
47,하이댕댕,김수연,,"부산광역시 사하구 다송로72번길 82, 에스엔씨빌딩 2층 202호 (다대동)",2022-04-25
48,나은동물병원,김경호,051-264-7584,부산광역시 사하구 다대로 254 (장림동),2022-04-25
49,빨강머리 앤,최규남,,"부산광역시 사하구 하신중앙로 8, 1층 (장림동)",2022-04-25
50,아지놀이방,신광숙,051-201-1482,"부산광역시 사하구 괴정로 282, 2층 (괴정동)",2022-04-25
51,스파보드레,강은영,,"부산광역시 사하구 다대로 385, 1층 (다대동)",2022-04-25
52,애기멍살롱,홍윤지,,"부산광역시 사하구 다대로 555-4, 4층 (다대동)",2022-04-25
53,단정하개,신은경,,"부산광역시 사하구 서포로 22-1, 1층 105호 (구평동)",2022-04-25
54,앙볼리,오유진,,부산광역시 사하구 승학로10번길 15(당리동),2022-04-25
55,미오미오,이정란,,"부산광역시 사하구 다대로429번길 12, 삼환아파트 107호 (다대동)",2022-04-25
56,마리네쿡,최진아,051-265-7306,"부산광역시 사하구 윤공단로 123, 121동 105-1호 (다대동, 부산다대푸르지오)",2022-04-25
57,신촌애견미용실,한정식,0512036741,"부산광역시 사하구 하신중앙로 265, 1층 (하단동, 가락타운2·3단지)",2022-04-25
58,강아지 미용실,정호림,,"부산광역시 사하구 장평로 438-1, 1층 (괴정동)",2022-04-25
