구분,사업장명칭,소재지주소,데이터기준일자,데이터담당부서,부서전화번호
동물 ( 미용 ),강사모펫 청라점,인천광역시 서구 청라동 105-9 101호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),수애견,인천광역시 서구 가좌동 129-29 1층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),나비빵,인천광역시 서구 심곡동 283 은진빌딩 3층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),러블리하개,인천광역시 서구 가좌동 144-5 1층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),스타일독,인천광역시 서구 왕길동 694-2 그리니빌딩 101호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),그루밍125,인천광역시 서구 청라동 145-15 1층 101호 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),"아토,사랑스러워",인천광역시 서구 청라동 57-4 4층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),JOO ZOO 이발소,인천광역시 서구 청라동 129-8 1층 102호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),빠방이네,인천광역시 서구 석남동 183-63 1층 102호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),Beauty in Dog's,인천광역시 서구 연희동 746-16 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),뿌잉뿌잉 애견미용샵,인천광역시 서구 경서동 722-1 태평샹베르아파트 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),서리네펫살롱,인천광역시 서구 검암동 630-1 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),더 그루밍,인천광역시 서구 당하동 1098-5 홀리랜드 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),댕댕살롱,인천광역시 서구 청라동 177-9 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),예스펫살롱,인천광역시 서구 가좌동 11 가좌한신 휴아파트 상가 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),라피네 애견스파,인천광역시 서구 왕길동 661-1 검단e편한세상 아파트 상가 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),루원시티독,인천광역시 서구 신현동 104-73 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),강아지와 고양이,인천광역시 서구 가정동 611-5 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),똑똑개세요,인천광역시 서구 가정동 611-23 청담프라자 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),온누리동물병원,인천광역시 서구 마전동 909-9 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),제이블랑,인천광역시 서구 청라동 105-83 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),The 펫살롱,인천광역시 서구 청라동 105-61 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),귀엽개귀엽냥,인천광역시 서구 가좌동 189-20 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),그루멍,인천광역시 서구 청라동 165-12 지젤엠청라 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),루이펫살롱,인천광역시 서구 심곡동 283-5 메인프라자3차 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),진현우동물병원,인천광역시 서구 석남동 454-3 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),더블유동물의료센터,인천광역시 서구 청라동 157-21 청라한신더휴커낼웨이 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),아이케어 동물병원,인천광역시 서구 청라동 167-1 청라리치아노 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),프롬말랑,인천광역시 서구 청라동 104-184 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),아기강아지,인천광역시 서구 청라동 152-19 더블유몰 102호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),디어댕댕,인천광역시 서구 금곡동 736-1 검단 우방아이유쉘 1차상가 101호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),마이 루,인천광역시 서구 원당동 810-11 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),댕댕#,인천광역시 서구 왕길동 674-2 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),88개발소,인천광역시 서구 청라동 165-12 지젤엠청라 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),알리와 윌리,인천광역시 서구 심곡동 339-1 삼정빌딩 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),하이멍뭉,인천광역시 서구 공촌동 310 영우빌딩 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),몽스파,인천광역시 서구 청라동 157-22 홈플러스 인천청라점 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),포근하개,인천광역시 서구 마전동 1002-2 마전 예뜰채 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),단아하개,인천광역시 서구 불로동 778-4 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),돌봐줄개,인천광역시 서구 심곡동 333-13 영성상가 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),미니펫,인천광역시 서구 석남동 575 한승빌딩 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),어스독 인천점,인천광역시 서구 가좌동 81-5 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),개발소,인천광역시 서구 불로동 308 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),멍냥샤워,인천광역시 서구 청라동 105-135 레이크하우스 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),언니네,인천광역시 서구 심곡동 283 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),댕댕살롱,인천광역시 서구 석남동 470 인천상가 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),심쿵하개,인천광역시 서구 가정동 619-6 루원탑프라자 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),"개인의 공간, 쉼.",인천광역시 서구 석남동 477-8 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),몽그루밍,인천광역시 서구 신현동 304-1 루원시티 대성베르힐 119동 107호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),베테랑P&K(청라점),인천광역시 서구 청라동 96-7 청라레이크봄 124호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),허그미,인천광역시 서구 왕길동 648-1 102호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),개르메스,인천광역시 서구 청라동 156-1 청라센트럴에일린의뜰 판매6동 103호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),브리앙뜨몽,인천광역시 서구 청라동 145-12 104호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),고양이 이발관,인천광역시 서구 청라동 157-21 청라한신더휴커낼웨이 상가동 209호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),한채은 반려동물 미용실,인천광역시 서구 청라동 165-11 커낼에비뉴 C28호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),루키네 애견샵,인천광역시 서구 연희동 697-5 1층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),라임동물병원,인천광역시 서구 청라동 127-2 1층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),예뻐지개,인천광역시 서구 가좌동 114-78 호진 빌딩 1층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),고양이 유치원,인천광역시 서구 석남동 518-18 604호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),정들개,인천광역시 서구 석남동 453-6 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),리브동물의료센터,인천광역시 서구 왕길동 641-10 검단KB빌딩 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),잘어울리개,인천광역시 서구 가정동 611-16 퍼스트프라자 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),잘어울리개,인천광역시 서구 가정동 611-16 퍼스트프라자 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),딩동댕,인천광역시 서구 원당동 1030-7 서영아너시티2차 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),핀 독,인천광역시 서구 원당동 1030-5 새샘프라자 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),올리스 아시아드점,인천광역시 서구 연희동 826 인천아시아드주경기장 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),러블리독스,인천광역시 서구 신현동 279-33 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),하늘이네 애견 미용,인천광역시 서구 석남동 480-9 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),단아하개,인천광역시 서구 불로동 328 퀸스타운동성아파트 상가 103호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),나나그룸,인천광역시 서구 청라동 157-10 현대썬앤빌더테라스상가 101동 262호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),뚜뚜보떼 펫살롱,인천광역시 서구 당하동 1028-18 103호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),그루몽,인천광역시 서구 청라동 96-13 광영 스너그시티 청라 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),아라펫,인천광역시 서구 원당동 0 세중시그니쳐 ,2022-07-25,경제정책과,032-560-1904
