연번,사업장명칭,영업내용,소재지 주소,전화번호,데이터기준일자
35,도그반하다,판매,"인천광역시 서구 승학로 470, 106호 (검암동)",032-566-9554,2021-09-01
36,베이비몽 인천점,판매,인천광역시 서구 옥빛로7번안길 3 (경서동),032-561-9770,2021-09-01
37,비숑이즈,판매,"인천광역시 서구 중봉대로612번길 10-16, 마르씨엘 B01층 (연희동)",032-568-1533,2021-09-01
38,청라종합동물병원,판매,"인천광역시 서구 청라커낼로 252, c동 118호 (청라동, 청라 롯데캐슬)",032-583-0366,2021-09-01
39,헬로퍼피,판매,"인천광역시 서구 완정로65번길 10, 검단1차 대주피오레아파트 b동 1층 113호 (마전동)",032-563-7961,2021-09-01
40,판다팜 서구신현점,판매,"인천광역시 서구 가정로 369, 서경 플러스 존 B01층 (신현동)",032-572-9341,2021-09-01
41,우리동물병원,판매,"인천광역시 서구 서곶로 349, 1층 (연희동)",032-566-0075,2021-09-01
42,펫퍼스트 24시 강아지분양 고양이분양,판매,"인천광역시 서구 중봉대로612번길 10-12, 청라프라자2 2층 (청라동)",,2021-09-01
43,헤르젠PH컷,판매,"인천광역시 서구 고래울로 23, 1층 (가좌동)",032-577-0365,2021-09-01
44,젠틀독,판매,"인천광역시 서구 담지로86번길 16-28, 1층 (청라동)",032-569-4114,2021-09-01
45,이카루스 팩토리,판매,"인천광역시 서구 청라에메랄드로 99, 지젤엠청라 지하1층 (청라동)",,2021-09-01
46,수애견,판매,"인천광역시 서구 건지로348번길 35-3, 1층 (가좌동)",,2021-09-01
47,꽁지,판매,"인천광역시 서구 보석로18번안길 16-1, JJ하우스 1층 (청라동)",,2021-09-01
48,은별이네,판매,"인천광역시 서구 중봉대로586번길 9-11, 청라매그놀리아오피스텔 207호 (청라동)",032-561-9344,2021-09-01
49,스타일독,판매,"인천광역시 서구 단봉로 99, 그리니빌딩 1층 101호 (왕길동)",032-561-7009,2021-09-01
50,KOZIT,판매,"인천광역시 서구 보석로18번길 11, 1층 (청라동)",,2021-09-01
51,깅곰펫,판매,"인천광역시 서구 청라커낼로260번길 7-11, 청라퍼스트타워 B04호 (청라동)",,2021-09-01
52,독끼(DOGKKI),판매,"인천광역시 서구 옥빛로7번안길 17, 103호 (청라동)",1666-6229,2021-09-01
53,제이블랑,판매,인천광역시 서구 푸른로13번길 16 (청라동),,2021-09-01
54,새한어조원,판매,인천광역시 서구 건지로318번길 46-2 (가좌동),,2021-09-01
55,인천 강아지 멍블랑 청라본점,판매,"인천광역시 서구 청라커낼로260번길 7-11, 청라퍼스트타워 지하1층 B04호 (청라동)",032-562-0301,2021-09-01
56,스퀘어독스 펫,판매,"인천광역시 서구 담지로8번길 15, 101호 (청라동)",,2021-09-01
57,(주)야옹아멍멍해봐펫 강아지고양이 인천청라점,판매,"인천광역시 서구 청라루비로 76, 청라 스퀘어7 B1층 (청라동)",,2021-09-01
58,홈플러스 청라점(아이러브펫),판매,"인천광역시 서구 중봉대로 587, 홈플러스 인천청라점 지하1층 (청라동)",032-563-2830,2021-09-01
59,하리네쉼터 인천,판매,인천광역시 서구 새오개로111번안길 17 (신현동),,2021-09-01
60,앤 펫,판매,"인천광역시 서구 청라에메랄드로 99, 지젤엠청라 지하1층 005호 (청라동)",,2021-09-01
61,댕댕이집 강아지분양 청라본점,판매,"인천광역시 서구 청라에메랄드로 79, A동 65~66호 (청라동)",1600-6347,2021-09-01
62,어스독 인천점,판매,"인천광역시 서구 원적로 141-8, 2층 (가좌동)",,2021-09-01
63,인천 강아지분양 24시 꽃개,판매,"인천광역시 서구 청라루비로42번길 6-22, 1층 102호 (청라동)",,2021-09-01
64,블링퍼피,판매,"인천광역시 서구 서달로221번길 12-1, 1층 (가정동)",,2021-09-01
65,베테랑P&K(청라점),판매,"인천광역시 서구 청라한내로100번길 8-28, 청라레이크봄 1층 123-124호 (청라동)",032-565-1315,2021-09-01
66,검단프라자약국,약국,인천광역시 서구 마전동 697번지 6호 ,,2021-09-01
67,동원약국,약국,인천광역시 서구 석남동 556번지 53호 ,,2021-09-01
68,마전메디칼약국,약국,인천광역시 서구 왕길동 638번지 1호 ,,2021-09-01
69,메디팜성모약국,약국,인천광역시 서구 가좌동 261번지 20호 한샘상가 ,,2021-09-01
70,사랑의약국,약국,인천광역시 서구 원적로 96 (가좌동),,2021-09-01
71,복지약국,약국,"인천광역시 서구 탁옥로 37, 107호 (심곡동,우리타워)",,2021-09-01
72,연희온누리약국,약국,인천광역시 서구 승학로 321 (연희동),,2021-09-01
73,을지약국,약국,"인천광역시 서구 장고개로 279, 101호 (가좌동)",,2021-09-01
74,온누리 이화약국,약국,인천광역시 서구 거북로 115 (석남동),,2021-09-01
75,정다운온누리약국,약국,인천광역시 서구 가정로 398 (가정동),,2021-09-01
76,명성약국,약국,인천광역시 서구 신진말로 37-1 (가좌동),,2021-09-01
77,오렌지약국,약국,"인천광역시 서구 가정로 375 (신현동, 금강아미움상가 104호)",,2021-09-01
78,하나약국,약국,인천광역시 서구 왕길동 483번지 4호 ,,2021-09-01
79,늘건강온누리 약국,약국,인천광역시 서구 승학로 491 (검암동),,2021-09-01
80,마트약국,약국,"인천광역시 서구 청라커낼로 252, A동 140호 (경서동, 롯데캐슬)",,2021-09-01
81,옥신 옥누리 약국,약국,인천광역시 서구 고래울로 29 (가좌동),,2021-09-01
82,참사랑약국,약국,인천광역시 서구 검단로 836 (불로동),,2021-09-01
83,프라자약국,약국,"인천광역시 서구 원당대로 660, 1층 101-1호 (당하동)",,2021-09-01
84,미약국,약국,"인천광역시 서구 고산후로95번길 20, 108, 109호 (당하동)",,2021-09-01
85,검단탑열린약국,약국,인천광역시 서구 청마로 17 (당하동),,2021-09-01
86,서울약국,약국,인천광역시 서구 검단로 836 (불로동),,2021-09-01
87,올리브약국,약국,인천광역시 서구 원당대로 663 (마전동),,2021-09-01
88,경서약국,약국,인천광역시 서구 경서로69번길 12 (경서동),,2021-09-01
89,천사동물약국,약국,인천광역시 서구 가정로 363 (신현동),,2021-09-01
90,용한약국,약국,인천광역시 서구 옥빛로 4 (경서동),,2021-09-01
91,함께약국,약국,인천광역시 서구 서곶로 823 (당하동),,2021-09-01
92,복지온누리약국,약국,인천광역시 서구 탁옥로 37 (심곡동),,2021-09-01
93,녹십자 약국,약국,인천광역시 서구 서곶로 293 (심곡동),,2021-09-01
94,베리굿약국,약국,인천광역시 서구 율도로 89 (신현동),,2021-09-01
95,한결약국,약국,인천광역시 서구 고래울로 4 (가좌동),,2021-09-01
96,한사랑약국,약국,인천광역시 서구 서곶로 281 (심곡동),,2021-09-01
97,열린 약국,약국,인천광역시 서구 가정로 364 (가정동),,2021-09-01
98,참조은약국,약국,인천광역시 서구 마전로5번길 22-1 (마전동),,2021-09-01
99,굿모닝약국,약국,인천광역시 서구 가정로 364-1 (가정동),,2021-09-01
100,백제약국,약국,"인천광역시 서구 검단로 480 (왕길동, 검단리치웰프라자)",,2021-09-01
101,검단제일약국,약국,"인천광역시 서구 완정로 197 (왕길동, 한샘학원)",,2021-09-01
102,연세온누리 약국,약국,인천광역시 서구 승학로 321 (연희동),,2021-09-01
103,검단튼튼약국,약국,인천광역시 서구 청마로19번길 20 (당하동),,2021-09-01
104,당하메디칼약국,약국,"인천광역시 서구 청마로 163 (당하동, 당하메디칼센타)",,2021-09-01
105,검단미래안 약국,약국,인천광역시 서구 검단로 469 (왕길동),,2021-09-01
106,하나온누리약국,약국,"인천광역시 서구 가정로 309, 1층 (석남동)",,2021-09-01
107,마음편한동물약국,약국,"인천광역시 서구 청라루비로 95 (경서동, 경연프라자)",,2021-09-01
108,연희연세약국,약국,인천광역시 서구 서곶로369번길 24 (연희동),,2021-09-01
109,청라 유명 약국,약국,"인천광역시 서구 청라라임로 65 (연희동, 라임타워)",,2021-09-01
110,즐거운 약국,약국,"인천광역시 서구 원당대로 581 (마전동, 롯데마트)",,2021-09-01
111,열린온누리약국,약국,인천광역시 서구 단봉로 97-7 (오류동),,2021-09-01
112,성민대학약국,약국,인천광역시 서구 길주로75번길 35 (석남동),,2021-09-01
113,우리약국,약국,인천광역시 서구 서달로 159 (석남동),,2021-09-01
114,메디안약국,약국,"인천광역시 서구 검단로623번길 4, 105호 (마전동, 세창프라자)",,2021-09-01
115,도담약국,약국,"인천광역시 서구 청라루비로 93, 105호 (경서동, 루비타워)",,2021-09-01
116,청라비젼약국,약국,"인천광역시 서구 중봉대로 594 (연희동, 청라비전프라자)",,2021-09-01
117,경서메디칼약국,약국,"인천광역시 서구 도요지로 22, 103호 (경서동, 대영프라자)",,2021-09-01
118,성모사랑약국,약국,인천광역시 서구 심곡로100번길 15 (심곡동),,2021-09-01
119,정든약국,약국,"인천광역시 서구 가정로 124 (가정동, 정든약국)",,2021-09-01
120,성모사랑약국,약국,인천광역시 서구 심곡로100번길 15 (심곡동),,2021-09-01
121,열린솔약국,약국,"인천광역시 서구 검단로768번길 2, 105호 (불로동, 불로메디컬)",,2021-09-01
122,보성메디컬약국,약국,"인천광역시 서구 완정로 179, 102,103호 (왕길동, 제이원검단메디컬프라자)",,2021-09-01
123,가정온누리약국,약국,"인천광역시 서구 청중로 486 (가정동, 부일프라자)",,2021-09-01
124,청라온누리약국,약국,"인천광역시 서구 청라에메랄드로102번길 8, 108호 (연희동)",,2021-09-01
125,석남동 동물약국,약국,인천광역시 서구 가정로 204 (석남동),,2021-09-01
126,행복한 약국,약국,"인천광역시 서구 승학로 497, 검암프라자 109호 (검암동)",,2021-09-01
127,새연희약국,약국,인천광역시 서구 서곶로 355-1 (연희동),,2021-09-01
128,동안약국,약국,"인천광역시 서구 승학로 567, 제일빌딩 101호 (검암동)",,2021-09-01
129,원당연세약국,약국,"인천광역시 서구 원당대로 866 (당하동, 세브란스빌딩)",,2021-09-01
130,청라로이약국,약국,"인천광역시 서구 크리스탈로74번길 31, 월드프라자 109호 (경서동)",,2021-09-01
131,가온약국,약국,"인천광역시 서구 봉오재3로 90, 한일골드타워 (가정동)",,2021-09-01
132,메디팜우리들약국,약국,"인천광역시 서구 완정로 187, 마전메디칼센타 101호 (왕길동)",,2021-09-01
133,푸른솔약국,약국,"인천광역시 서구 고산후로95번길 32, 명진프라자 102호 (당하동)",,2021-09-01
134,올리브약국,약국,"인천광역시 서구 원당대로 663, 한종프라자 103호 (마전동)",,2021-09-01
135,행복온누리약국,약국,"인천광역시 서구 솔빛로 24, 101, 102호 (청라동)",,2021-09-01
136,엔젤약국,약국,"인천광역시 서구 봉오재3로 40, 가정프라자 1층 (가정동)",,2021-09-01
137,햇살약국,약국,"인천광역시 서구 원당대로 860, 보람프라자 105호 (당하동)",,2021-09-01
138,서광약국,약국,"인천광역시 서구 원적로 100, 가좌로얄프라자 (가좌동)",,2021-09-01
139,메디피아약국,약국,"인천광역시 서구 완정로 172, 109호 (마전동)",,2021-09-01
140,청라바다약국,약국,"인천광역시 서구 중봉대로612번길 10-16, 마르씨엘 105,106호 (청라동)",,2021-09-01
141,성민메디칼약국,약국,인천광역시 서구 신석로 68 (석남동),,2021-09-01
142,새오개약국,약국,"인천광역시 서구 새오개로111번안길 31, 101호 (신현동)",,2021-09-01
143,동아메디칼약국,약국,"인천광역시 서구 원적로 85, 우신프라자 3층 (가좌동)",,2021-09-01
144,두리약국,약국,"인천광역시 서구 청라커낼로260번길 11, 진성프라자 1층 (청라동)",,2021-09-01
145,청라큰사랑약국,약국,"인천광역시 서구 청라에메랄드로 79, B12,B13호 (청라동)",,2021-09-01
146,옵티마강남약국,약국,"인천광역시 서구 청라에메랄드로 84, 딜라이트타워2 106호 (청라동)",,2021-09-01
147,성누가약국,약국,"인천광역시 서구 탁옥로 55, SM스카이빌 102호 (심곡동)",,2021-09-01
148,블루팜약국,약국,"인천광역시 서구 중봉대로 610, 105호 (청라동)",,2021-09-01
149,연세드림약국,약국,"인천광역시 서구 새오개로111번안길 32, 1층 102호 (신현동)",,2021-09-01
150,송송약국,약국,"인천광역시 서구 청라커낼로260번길 27, 청라한신더휴커낼웨이 130호 (청라동)",,2021-09-01
151,블루팜약국,약국,"인천광역시 서구 중봉대로 610, 마루힐프라자 1층 105호 (청라동)",,2021-09-01
152,청라천사약국,약국,"인천광역시 서구 청라커낼로288번길 10, 더스페이스타워 112호 (청라동)",,2021-09-01
153,가정미소약국,약국,"인천광역시 서구 봉오재3로 42, 다온프라자 1층 102호 (가정동)",,2021-09-01
154,블루약국,약국,"인천광역시 서구 보듬로 146, 메트로밸리 112호 (오류동)",,2021-09-01
155,새솔약국,약국,"인천광역시 서구 가정로 280, 102호 (석남동)",,2021-09-01
156,루원시티약국,약국,"인천광역시 서구 염곡로 468, 드림타워 1층 106호 (가정동)",,2021-09-01
157,거북시장약국,약국,"인천광역시 서구 거북로 97, 1층 (석남동)",,2021-09-01
158,탑스타약국,약국,"인천광역시 서구 청마로7번길 6, 1층 (당하동)",,2021-09-01
159,미소탑약국,약국,"인천광역시 서구 청마로 17, 준성빌딩 104~105호 (당하동)",,2021-09-01
160,백제당약국,약국,"인천광역시 서구 연희로 12, 1층 (연희동)",,2021-09-01
161,청라동물약국,약국,"인천광역시 서구 중봉대로586번길 9-4, 쓰리엠타워 1층 113호 (청라동)",,2021-09-01
162,해미약국,약국,"인천광역시 서구 가정로 123, 명성프라자 1층 107호 (가좌동)",,2021-09-01
163,청라늘푸른약국,약국,"인천광역시 서구 청라라임로 100, 103호 (청라동)",,2021-09-01
164,3층 조은약국,약국,"인천광역시 서구 청라한내로72번길 23, 312호 (청라동)",,2021-09-01
165,세란약국,약국,"인천광역시 서구 가정로 388, KEB외환은행 1층 (가정동)",,2021-09-01
166,청라바다약국,약국,"인천광역시 서구 중봉대로612번길 10-16, 마르씨엘 105-106호 (청라동)",,2021-09-01
167,온누리 중앙프라자 약국,약국,"인천광역시 서구 서곶로 837, 당하빌딩 1층 105호 (당하동)",,2021-09-01
168,이야기약국,약국,"인천광역시 서구 청라커낼로 252, A동 145호 (청라동, 청라 롯데캐슬)",,2021-09-01
169,청라중앙동물약국,약국,"인천광역시 서구 중봉대로 588, 청라센트럴프라자 104호 (청라동)",,2021-09-01
170,새솔동물약국,약국,"인천광역시 서구 가정로 280, 102호 (석남동)",,2021-09-01
171,가정동물병원,병원,인천광역시 서구 가정로 346 (가정동),032-575-0833,2021-09-01
172,우리동물병원,병원,인천광역시 서구 서곶로 349 (연희동),032-566-0075,2021-09-01
173,도희동물병원,병원,"인천광역시 서구 승학로 245, 1층 (심곡동)",032-566-0038,2021-09-01
174,원당동물병원,병원,"인천광역시 서구 원당대로 852, 창신프라자 204호 (당하동)",032-566-7588,2021-09-01
175,화이트동물병원,병원,"인천광역시 서구 서곶로 866 (마전동, 강서빌딩)",032-561-7592,2021-09-01
176,굿모닝동물병원,병원,"인천광역시 서구 가정로 246, 203호 (석남동)",032-583-1119,2021-09-01
177,예 동물병원,병원,"인천광역시 서구 완정로 70, 영남탑스빌아파트 상가 (마전동)",032-563-1575,2021-09-01
178,쿨펫동물병원,병원,"인천광역시 서구 원당대로 581, 롯데마트 (마전동)",032-561-7599,2021-09-01
179,쿨펫동물병원,병원,"인천광역시 서구 서곶로 754, 당하 이마트 (당하동)",032-565-7975,2021-09-01
180,검암동물병원,병원,인천광역시 서구 승학로 512 (검암동),032-563-0775,2021-09-01
181,청라종합동물병원,병원,"인천광역시 서구 청라커낼로 252, c동 118, 119호 (경서동)",032-583-0365,2021-09-01
182,청라라임동물병원,병원,"인천광역시 서구 청라라임로 102, 102, 103,104호 (연희동)",032-563-1900,2021-09-01
183,메이플동물병원,병원,"인천광역시 서구 원당대로 853, 1층 102, 103호 (원당동, 삼정프라자)",032-561-7508,2021-09-01
184,온누리 동물병원,병원,인천광역시 서구 완정로 182 (마전동),032-567-2575,2021-09-01
185,정이룸 동물병원,병원,"인천광역시 서구 원당대로 664, 102호 (당하동, 창신프라자)",032-564-7556,2021-09-01
186,청라 루비 동물병원,병원,인천광역시 서구 청라루비로134번길 6-4 (경서동),032-568-0922,2021-09-01
187,검단종합동물병원,병원,"인천광역시 서구 완정로7번길 1, 1층 (마전동)",032-563-8579,2021-09-01
188,길동물병원,병원,"인천광역시 서구 가정로 375, 2층 201호 (신현동, 금강아미움)",032-578-5119,2021-09-01
189,J동물병원,병원,"인천광역시 서구 청라커낼로 270, 커낼힐스빌 (청라동)",032-566-7582,2021-09-01
190,동물에 반하다 동물병원,병원,"인천광역시 서구 크리스탈로102번길 22, 101,102호 (청라동)",032-713-8275,2021-09-01
191,쿨펫동물병원(가좌점),병원,인천광역시 서구 가정로151번길 11 (가좌동),032-576-0045,2021-09-01
192,하얀기린 동물병원,병원,"인천광역시 서구 청라라임로 40, 103호 (연희동, 청라골드클래스 커낼웨이)",032-564-3575,2021-09-01
193,청라공감동물병원,병원,"인천광역시 서구 중봉대로586번길 22, 128~131호 (연희동, 청라 풍림 엑슬루타워)",032-563-0094,2021-09-01
194,토닥토닥동물병원,병원,"인천광역시 서구 여우재로 119, 202호 (가좌동, 인천가좌두산위브트레지움 2단지)",032-574-5757,2021-09-01
195,삼성종합동물병원,병원,인천광역시 서구 건지로 269 (석남동),032-584-0075,2021-09-01
196,루원하이동물병원,병원,"인천광역시 서구 염곡로 468, 드림타워 103호 (가정동)",032-564-8275,2021-09-01
197,쪼꼬동물메디컬센터,병원,"인천광역시 서구 청중로478번안길 4, 2층 (가정동)",032-565-2943,2021-09-01
198,연희동물병원,병원,"인천광역시 서구 탁옥로74번길 16, 113호 (심곡동)",032-561-4667,2021-09-01
199,이오동물병원,병원,"인천광역시 서구 승학로 551, 동곡프라자 108호 (검암동)",,2021-09-01
200,청라호수동물메디컬센터,병원,"인천광역시 서구 푸른로7번길 2, 청라호수동물메디컬센터 (청라동)",032-568-0022,2021-09-01
201,진현우동물병원,병원,인천광역시 서구 가정로 295 (석남동),032-572-7475,2021-09-01
202,24시 더블유 동물의료센터,병원,"인천광역시 서구 청라커낼로260번길 27, 청라한신더휴커낼웨이 2층 236~239호 (청라동)",032-565-8270,2021-09-01
203,아이케어 동물병원,병원,"인천광역시 서구 청라에메랄드로102번길 10, 청라리치아노 1층 103~105호 (청라동)",,2021-09-01
204,베테랑 동물병원(청라지점),병원,"인천광역시 서구 청라한내로100번길 8-28, 청라레이크봄 1층 123, 124호 (청라동)",032-565-1315,2021-09-01
205,행복한산책 동물병원,병원,"인천광역시 서구 푸른로8번길 7, 1층 (청라동)",032-563-7577,2021-09-01
206,펫홈동물병원,병원,"인천광역시 서구 서곶로 263, 대화빌딩 1층 (심곡동)",,2021-09-01
