연번,업체명,소재지
108,늘푸른동물병원,인천광역시 부평구 삼산동 54번지 2호  
109,리치동물병원,인천광역시 부평구 삼산동 389번지 1호  
110,부개종합동물병원,인천광역시 부평구 부개동 498번지 11호  
111,삼산종합동물병원,인천광역시 부평구 삼산동 459번지 5호  
112,사랑동물병원,인천광역시 부평구 부개동 86번지 1호  
113,애나동물병원,인천광역시 부평구 산곡동 2번지 10호 정진빌딩 
114,아프리카 동물의료센터,인천광역시 부평구 삼산동 427번지 5호 덕성빌딩 3층 
115,조재진동물병원,인천광역시 부평구 산곡동 411번지 23호  
116,쥬라기동물종합병원,인천광역시 부평구 부평동 115번지 18호  
117,반디동물병원,인천광역시 부평구 삼산동 461번지 1호  
118,주주종합동물병원,인천광역시 부평구 부개동 301번지 38호  
119,부평종합동물의료센터,인천광역시 부평구 부평동 431번지 12호 부평 신일유스테이션 오피스텔 
120,예동물병원,인천광역시 부평구 갈산동 385번지 10호  
121,온리동물병원,인천광역시 부평구 십정동 289번지 8호 더샵부평센트럴시티 상가동 F동 105호 
122,삼산평생동물병원,인천광역시 부평구 삼산동 462번지 4호 유림프라자 201호 
123,부평 모모 동물병원,인천광역시 부평구 부평동 274번지 44호  
124,부평종합외과센터,인천광역시 부평구 부평동 431번지 12호 부평 신일유스테이션 오피스텔 210호 
125,부평24시 SKY 동물의료센터,인천광역시 부평구 부평동 126번지 8호  
126,부평종합고양이의료센터,인천광역시 부평구 부평동 431번지 12호  
127,현대동물병원,인천광역시 부평구 부평동 274번지 21호  
128,부평프라임동물병원,인천광역시 부평구 부평동 179번지 16호 호진빌딩 
129,계양동물병원,인천광역시 계양구 효성동 320번지 1호  
130,AVC 동물메디컬센터,인천광역시 계양구 계산동 919번지  3동 
131,다오동물병원,"인천광역시 계양구 계산동 1062번지 하이베라스 123,124호 D동 "
132,쿨펫동물병원,인천광역시 계양구 계산동 1061번지 홈플러스 2층 
133,계산동물병원,인천광역시 계양구 작전동 855번지 14호 2층 
134,아이러브펫 동물병원 작전점,인천광역시 계양구 작전동 448번지 7호 홈플러스 3층 
135,쿨펫동물병원,인천광역시 계양구 작전동 911번지 1호 이마트 
136,해림동물병원,인천광역시 계양구 작전동 864번지 39호  
137,자연동물병원,인천광역시 계양구 작전동 428번지 6호  101호 
138,한스동물병원,인천광역시 계양구 동양동 640번지 15호  
139,신영재동물병원,인천광역시 계양구 병방동 426번지  
140,하나 동물병원,인천광역시 계양구 작전동 949번지 작전역 서해그랑블 205호 
141,재영 동물병원,인천광역시 계양구 작전동 901번지 4호 한샘프라자 
142,작전 동물병원,인천광역시 계양구 작전동 925번지 1호  
143,이지 동물병원,인천광역시 계양구 병방동 422번지  
144,신통방통 동물병원,인천광역시 계양구 작전동 863번지  
145,계양 24시 SKY 동물병원,인천광역시 계양구 작전동 901번지 4호  
146,소나무동물메디컬 센터,인천광역시 계양구 효성동 75번지 3호 효성동메트하임 101동 101호 
147,닥터팬더 동물병원,인천광역시 계양구 용종동 207번지 1호 인천 계양 코아루 센트럴파크 
148,한솔 동물병원,인천광역시 계양구 계산동 918번지 2호  
149,아마존 동물병원,인천광역시 계양구 임학동 67번지 7호  101호 
150,계양 동물 메디컬 센터,인천광역시 계양구 계산동 942번지 24호  
151,청라종합동물병원,인천광역시 서구 경서동 958번지 1호 롯데캐슬단지내상가 C동 
152,우리동물병원,인천광역시 서구 연희동 687번지 2호  
153,메이플동물병원,인천광역시 서구 원당동 824번지 6호  
154,가정동물병원,인천광역시 서구 가정동 517번지 32호  
155,굿모닝동물병원,인천광역시 서구 석남동 510번지 6호  
156,쿨펫동물병원,인천광역시 서구 마전동 1031번지 1호 롯데마트 
157,동물에 반하다 동물병원,인천광역시 서구 청라동 151번지 4호  
158,J동물병원,인천광역시 서구 청라동 157번지 15호 커낼힐스빌 
159,길동물병원,인천광역시 서구 신현동 303번지  
160,검단종합동물병원,인천광역시 서구 마전동 1020번지 14호  
161,청라 루비 동물병원,인천광역시 서구 경서동 850번지 3호  
162,정이룸 동물병원,인천광역시 서구 당하동 1092번지 5호  
163,온누리 동물병원,인천광역시 서구 마전동 909번지 9호  
164,검암동물병원,인천광역시 서구 검암동 613번지 1호  
165,쿨펫동물병원,인천광역시 서구 당하동 1065번지 1호 당하 이마트 
166,청라호수동물메디컬센터,인천광역시 서구 청라동 105번지 62호  
167,이오동물병원,인천광역시 서구 검암동 506번지 1호 동곡프라자 
168,연희동물병원,인천광역시 서구 심곡동 303번지 6호  
169,쪼꼬동물메디컬센터,인천광역시 서구 가정동 606번지 2호 2층 
170,루원하이동물병원,인천광역시 서구 가정동 619번지 4호 드림타워 103호 
171,삼성종합동물병원,인천광역시 서구 석남동 579번지 3호  
172,토닥토닥동물병원,인천광역시 서구 가좌동 309번지 인천가좌두산위브트레지움 2단지 
173,청라공감동물병원,인천광역시 서구 연희동 801번지 1호 청라 풍림 엑슬루타워 
174,하얀기린 동물병원,인천광역시 서구 연희동 796번지 7호 청라골드클래스 커낼웨이 
175,이기쁨동물병원,인천광역시 서구 가정동 0번지 루원시티 SK Leaders VIEW 301동 B119호 
176,리브동물의료센터,인천광역시 서구 왕길동 641번지 10호 검단KB빌딩 
177,가온동물의료센터,인천광역시 서구 가정동 619번지 7호  
178,라임동물병원,인천광역시 서구 청라동 127번지 2호 1층 
179,코지동물의료센터 서구청점,인천광역시 서구 심곡동 255번지 3호 대화빌딩 
180,행복한산책 동물병원,인천광역시 서구 청라동 105번지 26호 1층 
181,아이케어 동물병원,인천광역시 서구 청라동 167번지 1호 청라리치아노 
182,24시 더블유 동물의료센터,인천광역시 서구 청라동 157번지 21호 청라한신더휴커낼웨이 
183,진현우동물병원,인천광역시 서구 석남동 454번지 3호  
184,검단이음동물메디컬센터,인천광역시 서구 원당동 0번지 세중시그니쳐 
185,24시 더원 동물병원,인천광역시 서구 원당동 0번지  
186,예 동물병원,인천광역시 서구 마전동 999번지 4호 영남탑스빌아파트 상가 
187,화이트동물병원,인천광역시 서구 마전동 1056번지 6호 강서빌딩 
188,도희동물병원,인천광역시 서구 심곡동 333번지 7호 1층 
189,원당동물병원,인천광역시 서구 당하동 1028번지 7호 창신프라자 
190,종합,인천광역시 강화군 강화읍 관청리 119번지 9호 7통  
191,인천강화옹진축협 동물병원,인천광역시 강화군 강화읍 관청리 117번지 1호  
192,바울 동물병원,인천광역시 강화군 강화읍 남산리 43번지 3호  
193,베스트,인천광역시 강화군 강화읍 갑곳리 519번지 2호  
194,서울동물,인천광역시 강화군 강화읍 남산리  
195,한마음,인천광역시 강화군 강화읍 남산리 18번지 3호  
196,디디동물병원,인천광역시 강화군 강화읍 갑곳리 364번지  
197,중앙동물병원,인천광역시 강화군 강화읍 남산리 279번지 1호  
198,Dr.G 동물병원,인천광역시 강화군 선원면 창리 493번지 희년빌딩 106호 
199,백령동물병원,인천광역시 옹진군 백령면 진촌리 1129번지 4호  
200,삼성동물종합병원,인천광역시 미추홀구 주안동 678번지 7호  
201,한국동물병원,인천광역시 미추홀구 용현동 627번지 399호  
202,아이러브펫동물병원,인천광역시 미추홀구 용현동 648번지 홈플러스 인하점 지하1층 8동 
203,지오동물병원,인천광역시 미추홀구 학익동 437번지 31호  
204,주안동물병원,인천광역시 미추홀구 주안동 24번지 2호  
205,아나파동물병원,인천광역시 미추홀구 주안동 505번지 1호  
206,중앙가축병원,인천광역시 미추홀구 주안동 72번지 11호  
207,닥터파파동물병원,인천광역시 미추홀구 주안동 1309번지  
208,시민동물병원,인천광역시 미추홀구 주안동 1483번지 23호  
209,페트로 동물병원,인천광역시 미추홀구 용현동 621번지 68호  
210,바른동물병원,인천광역시 미추홀구 학익동 260번지 22호  
211,펫홈종합동물병원,인천광역시 미추홀구 주안동 1471번지 11호  
212,24시퍼스트동물의료센터,인천광역시 미추홀구 주안동 929번지 16호 보미 리즌빌 
213,포인트동물의료센터,인천광역시 미추홀구 용현동 558번지 16호  
214,시드니종합동물병원,인천광역시 미추홀구 주안동 1467번지 동경프라자 
215,사랑애동물메디컬센터,인천광역시 미추홀구 주안동 302번지 1호 삼성생명빌딩 
216,노아 동물병원,인천광역시 미추홀구 도화동 0번지 도화프라자 
217,하인츠동물병원,인천광역시 미추홀구 용현동 604번지 5호 이한프라자 
218,학익동물병원,인천광역시 미추홀구 학익동 214번지 4호  
219,브라운동물병원,인천광역시 미추홀구 숭의동 293번지 19호 1층 
220,온누리동물병원,인천광역시 미추홀구 용현동 146번지 275호  
221,아라종합동물병원,인천광역시 미추홀구 주안동 241번지 9호  
222,안상수동물병원,인천광역시 미추홀구 용현동 622번지 149호  
223,24시 건국 본 동물병원,인천광역시 미추홀구 주안동 1464번지 22호  
