구분,사업장명칭,소재지주소,데이터기준일자,데이터담당부서,부서전화번호
동물 ( 위탁관리 미용 ),개미남 개미녀,"인천광역시 서구 원창로 200-1, 1층 (신현동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),청라 공감 동물의료센터,"인천광역시 서구 중봉대로586번길 22, 1층 (청라동, 청라 풍림 엑슬루타워)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),쪼꼬동물메디컬센터,"인천광역시 서구 청중로478번안길 4, 2층 (가정동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),정이룸 동물병원,"인천광역시 서구 원당대로 664, 창신프라자 102호 (당하동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),메이플동물병원,"인천광역시 서구 원당대로 853, 삼정프라자 102호 (원당동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),검단종합 동물병원,"인천광역시 서구 완정로7번길 1, 행복열쇠, 한림빌딩 (마전동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),삼성종합동물병원,"인천광역시 서구 건지로 269, 1층 (석남동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),아이러브펫 청라점,"인천광역시 서구 중봉대로 587, 홈플러스 인천청라점 지하1층 (청라동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),쿨펫동물병원 이마트검단점,"인천광역시 서구 서곶로 754, 당하 이마트 3층 (당하동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),나비빵,"인천광역시 서구 탁옥로97번길 4-2, 은진빌딩 3층 (심곡동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 ),HMC펫케어,"인천광역시 서구 서곶로369번길 20, 한국상가 201호 (연희동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 ),아지랑양이,"인천광역시 서구 서곶로 870, 1층 (마전동, 한성빌딩)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 ),러블리하개,인천광역시 서구 가정로126번길 16 (가좌동),2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 ),마이달링독,"인천광역시 서구 청라에메랄드로102번길 8-18, 청라캐널큐브 8층 (청라동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),Beauty in Dog's,인천광역시 서구 대평로 54 (연희동),2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),서리네펫살롱,"인천광역시 서구 승학로 446, 113호 (검암동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),더 그루밍,"인천광역시 서구 서곶로 788, 홀리랜드 121호 (당하동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 ),멍's,"인천광역시 서구 보석로18번안길 11, 1층 (청라동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),댕댕살롱,인천광역시 서구 청라루비로42번길 6-16 (청라동),2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 ),몽슈슈마벨,"인천광역시 서구 청라루비로134번길 6-15, 102호 (청라동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),The 펫살롱,"인천광역시 서구 푸른로 9, 1층 (청라동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),그루멍,"인천광역시 서구 청라에메랄드로 99, 지젤엠청라 B006호 (청라동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),루이펫살롱,"인천광역시 서구 탁옥로 105, 메인프라자3차 1층 103호 (심곡동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),진현우동물병원,인천광역시 서구 가정로 295 (석남동),2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),더블유동물의료센터,"인천광역시 서구 청라커낼로260번길 27, 청라한신더휴커낼웨이 2층 236~239호 (청라동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),디어댕댕,"인천광역시 서구 완정로 208 (금곡동, 검단 우방아이유쉘)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),루이비 도그,"인천광역시 서구 원당대로839번길 35-1, 근생동 B12호 (원당동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 운송 ),호텔펫코리아,"인천광역시 서구 원당대로 681, 신성빌딩 3층 302호 (마전동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),댕댕#,"인천광역시 서구 완정로117번길 8, 1층 103호 (왕길동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),몽스파,"인천광역시 서구 중봉대로 587, 홈플러스 인천청라점 지하1층 (청라동)",2021-09-15,경제정책과,032-560-1903
