연번,업체명,소재지,전화번호
43,희망동물병원,광주광역시 남구 천변좌로 394 (사동),062-671-8288
44,중앙동물병원,광주광역시 남구 천변좌로 358 (구동),
45,서현동물병원,광주광역시 남구 천변좌로 370 (구동),062-671-7007
46,노아동물병원,광주광역시 남구 대남대로 407 (월산동),062-363-4860
47,그린동물병원,광주광역시 남구 대남대로 309-1 (월산동),062-352-0101
48,수동물병원,광주광역시 남구 서문대로 791-1 (주월동),062-653-1175
49,진월24동물병원,광주광역시 남구 서문대로 683 (진월동),
50,은하수 동물병원,광주광역시 남구 서문대로 665 (진월동),062-716-4282
51,다솜동물병원,광주광역시 남구 독립로 91 (월산동),
52,광주축산농협동물병원,광주광역시 남구 송암로24번길 52 (송하동),062-674-1232
53,오즈동물병원,광주광역시 남구 회재로 1158 (주월동),062-654-1275
54,루나동물병원,"광주광역시 남구 봉선2로 53, 101호 (봉선동)",062-654-7500
55,청담동물병원,"광주광역시 남구 봉선로 205, 플러스존 (봉선동)",062-710-1075
56,늘푸른 동물병원,"광주광역시 남구 봉선로 115 B동 103호 (봉선동,남양휴튼)",
57,길동물병원,"광주광역시 남구 서문대로 763 (주월동, 길동물병원)",062-652-8788
58,이룸외과동물병원,광주광역시 남구 금화로 376 (주월동),062-714-1755
59,봉선아이동물메디컬센터,광주광역시 남구 봉선로 77 (봉선동),062-959-5900
60,광주동물병원,"광주광역시 남구 서문대로 403-1, 동물병원 (송하동)",062-681-5720
61,무등동물병원,광주광역시 북구 서림로 116 (임동),
62,바이오컨설팅 & 신동물병원,광주광역시 북구 임동로 6 (임동),062-525-1928
63,유동물병원,광주광역시 북구 서암대로 167 (신안동),062-526-3575
64,굿모닝동물병원,광주광역시 북구 설죽로 305 (용봉동),062-573-7171
65,아나푸게안과동물병원,광주광역시 북구 설죽로 191 (용봉동),062-524-3663
66,자연동물병원,광주광역시 북구 황계로 59 (운암동),062-521-7582
67,나래동물병원,"광주광역시 북구 북문대로 113 (운암동,영일빌딩 106호)",062-529-5582
68,종로동물병원,광주광역시 북구 북문대로 154 (운암동),062-523-7979
69,말바우동물병원,광주광역시 북구 동문대로 79 (우산동),062-262-5535
70,가야동물병원,광주광역시 북구 동문대로 131 (우산동),062-251-8597
71,빛고을 동물의료센터,광주광역시 북구 중문로 74 (우산동),062-419-7582
72,주주동물병원,광주광역시 북구 필문대로 75 (풍향동),062-524-7582
73,방주동물병원,광주광역시 북구 설죽로 326 (오치동),062-268-7989
74,김앤강 동물병원,광주광역시 북구 서하로 319-1 (오치동),062-224-7582
75,해맑은동물병원,광주광역시 북구 하서로 415 (용두동),062-571-7582
76,전남대학교 동물병원,광주광역시 북구 용봉로 77 (용봉동),062-530-2882
77,샘터동물병원,광주광역시 북구 임방울대로1042번길 17 (용두동),062-573-9988
78,블루밍동물의료센터,광주광역시 북구 대자로 36 (운암동),062-416-7975
79,원헬스 벳 사회적협동조합,광주광역시 북구 서하로 319-1 (오치동),
80,기운내 동물병원,광주광역시 북구 북문대로 88 (운암동),062-528-7588
81,올치동물병원,광주광역시 북구 본촌동 673번지 14호,062-716-5775
82,동물병원 다움,"광주광역시 북구 용봉로 18, 1층 (신안동)",062-419-2020
83,동행동물병원,"광주광역시 북구 설죽로 298, 1,2층 (오치동)",062-251-7582
84,24시 블루밍 동물병원,"광주광역시 북구 서강로54번길 50, 214호 (운암동, 벽산 블루밍 메가씨티)",062-416-7975
85,마음동물병원,"광주광역시 북구 첨단연신로91번길 30, 106, 107호 (신용동)",062-571-1275
86,광주동물보호소 부속동물병원,"광주광역시 북구 본촌마을길 27, 동물보호소 (본촌동)",062-571-2808
87,소담동물병원,"광주광역시 북구 하서로 652-6, 103호 (지야동)",062-574-8276
88,이든동물병원,광주광역시 북구 설죽로471번길 101-102 (삼각동),062-576-7585
89,24시 언제나 동물병원,광주광역시 북구 하백로5번길 1 (매곡동),062-571-0011
90,코아동물병원,광주광역시 북구 서하로 364 (문흥동),062-401-5323
91,일곡동물병원,광주광역시 북구 양일로305번길 8 (일곡동),062-571-9114
92,광주광역시 우치동물원 동물병원,"광주광역시 북구 우치로 677, 우치공원 금호패밀리랜드 (생용동)",062-613-5890
93,우리동물병원,광주광역시 북구 태봉로 37-6 (임동),
94,참좋은 동물병원,광주광역시 북구 양산로 10 (양산동),062-574-7975
95,노창섭동물병원,광주광역시 광산구 어등대로 589 (운수동),
96,밝은동물병원,광주광역시 광산구 월곡산정로 67 (월곡동),062-962-3141
97,첨단우리동물병원,광주광역시 광산구 첨단내촌로70번길 108-9 (월계동),062-972-6675
98,한빛동물병원,광주광역시 광산구 수등로76번길 39-8 (신가동),062-959-7558
99,배선생펫스토리동물병원,광주광역시 광산구 임방울대로 213 (신가동),062-951-7585
100,정다운동물병원,광주광역시 광산구 용아로399번길 51 (하남동),062-959-7511
101,수완종합동물병원,광주광역시 광산구 장신로 164 (수완동),062-959-0975
102,광산동물병원,광주광역시 광산구 광산로 23 (송정동),062-944-5550
103,하남동물병원,광주광역시 광산구 목련로 91-1 (월곡동),062-952-5446
104,연두동물병원,광주광역시 광산구 신창로 40 (신창동),062-959-7533
105,초로동물병원,광주광역시 광산구 왕버들로 113-2 (수완동),062-961-7522
106,치유동물병원,광주광역시 광산구 풍영로 189 (장덕동),062-945-1275
107,첨단사랑동물병원,"광주광역시 광산구 월계로 217, 쌍암동 첨단프라자 122호 (쌍암동)",062-972-5996
108,광주다온동물병원,광주광역시 광산구 하남대로 142 (월곡동),062-956-7566
109,비타민동물병원,"광주광역시 광산구 월계로 203, 123호 (월계동)",062-971-7511
110,엘림동물병원,광주광역시 광산구 선운로2번길 39 (선암동),
111,공감동물메디컬센터,광주광역시 광산구 장신로 72 (장덕동),062-716-2979
112,다나은 동물병원,"광주광역시 광산구 첨단강변로99번길 34, 1층 101호(쌍암동, 루빌코리아)",062-971-1275
113,도담도담동물병원,광주광역시 광산구 첨단중앙로 150 (쌍암동),062-973-7579
114,광주동물메디컬센터,광주광역시 광산구 북문대로420번길 206 (신창동),062-523-0075
115,웰니스동물병원(수완점),광주광역시 광산구 장신로 98 (장덕동),
116,이솝동물병원,광주광역시 광산구 첨단중앙로 170 (쌍암동),062-973-1255
117,미르동물병원,광주광역시 광산구 왕버들로 86 (수완동),062-413-8275
118,진리동물병원,"광주광역시 광산구 평동로800번길 33, 2층 (옥동)",
119,신창동물병원,광주광역시 광산구 신창로 125 (신창동),062-952-0750
120,보람동물병원,광주광역시 광산구 임방울대로 727-6 (월계동),062-972-7900
121,YS 동물병원,광주광역시 광산구 어등대로 289-5 (서봉동),
122,해피동물병원,광주광역시 광산구 하남대로 279 (신가동),062-954-4306
123,녹십자동물병원,광주광역시 광산구 내상로 55 (송정동),062-943-8288
124,운남동물병원,광주광역시 광산구 하남대로 273 (신가동),062-952-7588
125,예동물병원,광주광역시 광산구 상무대로 251 (소촌동),062-945-8277
