사업장명,인허가일자,영업상태명,소재지전화,도로명주소,지번주소,위도,경도,데이터기준일자
코끼리 동물의료센터,2021-03-09,영업/정상,,"전라북도 전주시 완산구 모악로 4769, 2층 1호 (평화동1가)",전라북도 전주시 완산구 평화동1가 708-4,35.795077,127.1321811,2022-06-30
펫동물병원,2007-10-16,영업/정상,,"전라북도 전주시 완산구 거마평로 162, 101호 (효자동1가)",전라북도 전주시 완산구 효자동1가 287-13,35.80711315,127.116713,2022-06-30
푸른 동물병원,1992-03-18,영업/정상,063-211-2662,전라북도 전주시 덕진구 쪽구름로 71-2 (반월동),전라북도 전주시 덕진구 반월동 248-7,35.87179632,127.0761584,2022-06-30
푸른하늘 동물병원,2004-05-11,영업/정상,063-222-4119,전라북도 전주시 완산구 모악로 4704 (평화동2가),전라북도 전주시 완산구 평화동2가 299-1,35.78919679,127.1315229,2022-06-30
프렌즈동물병원,2002-04-17,영업/정상,063-227-4975,전라북도 전주시 완산구 거마평로 86 (삼천동1가),전라북도 전주시 완산구 삼천동1가 592-1,35.80002105,127.117062,2022-06-30
하나 동물병원,1997-06-24,영업/정상,063-253-5677,"전라북도 전주시 덕진구 송천중앙로 17, 1층 (덕진동2가)",전라북도 전주시 덕진구 덕진동2가 167-156,35.84885442,127.1185593,2022-06-30
하루동물병원,2018-05-21,영업/정상,063-232-5900,"전라북도 전주시 완산구 모악로 4692, 매직카 (평화동2가)",전라북도 전주시 완산구 평화동2가 302-3,35.78830843,127.1309312,2022-06-30
하트동물병원,2014-05-26,영업/정상,063-276-7675,전라북도 전주시 덕진구 두간1길 5 (송천동1가),전라북도 전주시 덕진구 송천동1가 812-3,35.86482527,127.1212834,2022-06-30
행복한 동물병원,2000-01-14,영업/정상,063-244-0090,전라북도 전주시 덕진구 건산로 243 (인후동1가),전라북도 전주시 덕진구 인후동1가 806-6,35.83482251,127.163605,2022-06-30
혁신동물병원,2016-12-23,영업/정상,063-229-5333,전라북도 전주시 덕진구 기지로 72 (중동),전라북도 전주시 덕진구 중동 774-1,35.83807321,127.0599762,2022-06-30
홍 동물병원,1967-11-09,영업/정상,063-284-6520,전라북도 전주시 완산구 팔달로 99-2 (전동),전라북도 전주시 완산구 전동 260,35.81150528,127.1492174,2022-06-30
효자 동물병원,1993-05-10,영업/정상,063-224-6672,전라북도 전주시 완산구 백제대로 121 (효자동1가),전라북도 전주시 완산구 효자동1가 563-8,35.80379054,127.1237583,2022-06-30
힐링동물병원,2012-07-18,영업/정상,063-272-8575,전라북도 전주시 덕진구 송천중앙로 177 (송천동1가),전라북도 전주시 덕진구 송천동1가 486-16,35.86279147,127.1213142,2022-06-30
