Id,region,city,place_type,company_name,call_num,_address,open_time,homepage,parking,wifi,reservation
,강원도,영월군,숙박,영월 스카이펜션&캠핑장,033-372-0399,강원도 영월군 무릉도원면 무릉법흥로 852-15,,,,,
,강원도,홍천군,숙박,신영펜션,033-435-8666,강원도 홍천군 서면 한치골길 75-12,,,,,
,강원도,화천군,숙박,평화의댐오토캠핑장,033-440-4533,강원도 화천군 화천읍 비수구미길 145-145,,,,,
,강원도,동해시,숙박,너랑온펜션,033-534-3756,강원도 동해시 망상길 42,,,,,
,강원도,강릉시,숙박,세인트존스호텔,033-660-9000,강원도 강릉시 창해로 307,,,,,
,강원도,춘천시,동물병원,광장동물병원,033-242-8075,강원도 춘천시 춘천로 188,,,,,
,강원도,횡성군,동물병원,김재문동물병원,033-343-5450,강원도 횡성군 횡성읍 문정로 10,,,,,
,강원도,영월군,동물병원,강원동물병원,033-373-0788,강원도 영월군 영월읍 중앙로 75,,,,,
,강원도,철원군,동물병원,동주동물병원,033-455-7518,강원도 철원군 동송읍 이평2로 17,,,,,
,강원도,태백시,동물병원,홍현관동물병원,033-552-9117,강원도 태백시 황지로 80,,,,,
,강원도,강릉시,동물병원,나은동물병원,033-642-7587,강원도 강릉시 교동광장로100번길 8-12,,,,,
,강원도,춘천시,식당,강산숯불닭갈비막국수,033-242-9972,강원도 춘천시 신북읍 신샘밭로 621,,,,,
,강원도,홍천군,식당,홍천원조화로구이,033-432-8592,강원도 홍천군 서면 한서로 2167,,,,,
,강원도,고성군,식당,풍어횟집,033-632-8582,강원도 고성군 죽왕면 심층수길 40-12,,,,,
,강원도,속초시,식당,현대아바이순대,033-633-6879,강원도 속초시 중앙로129번길 35,,,,,
,강원도,원주시,식당,빵공장 라뜰리에 김가 원주점,033-735-5677,강원도 원주시 행구로 314,,,,,
,강원도,원주시,식당,횡성고향한우,033-747-8658,강원도 원주시 지정면 질마재로 49,,,,,
,강원도,철원군,카페,카페독스,033-455-1117,강원도 철원군 동송읍 이평로 91,,,,,
,강원도,동해시,카페,J카페,033-534-3934,강원도 동해시 항골길 94,,,,,
,강원도,속초시,카페,바크카페,033-637-2292,강원도 속초시 중앙로 150-1,,,,,
,강원도,고성군,카페,스퀘어루트카페,033-681-0604,강원도 고성군 죽왕면 가향길 2-7,,,,,
,강원도,원주시,카페,카페 위드민,033-766-7654,강원도 원주시 앙월길 47,,,,,
,강원도,춘천시,체험,춘천 물레길,033-242-8463,강원도 춘천시 스포츠타운길 113-1,,,,,
,강원도,평창군,체험,대관령눈꽃축제,033-335-3995,강원도 평창군 대관령면 대관령로 119,,,,,
,강원도,평창군,체험,평창 송어축제,033-336-4000,강원도 평창군 진부면 경강로 3562,,,,,
,강원도,영월군,체험,별빛반려견 놀이터,033-372-0545,강원도 영월군 남면 연당로 47-6,,,,,
,강원도,홍천군,체험,휘바핀란드,033-433-0288,강원도 홍천군 서면 팔봉산로 368,,,,,
,강원도,정선군,체험,정선 스카이워크,033-563-4100,강원도 정선군 정선읍 병방치길 225,,,,,
,강원도,정선군,체험,정선 레일바이크,033-563-8787,강원도 정선군 여량면 노추산로 745,,,,,
,강원도,평창군,관광지,국민의숲,033-336-4037,강원도 평창군 대관령면 가시머리길 36-54,,,,,
,강원도,속초시,관광지,아바이마을,033-633-3171,강원도 속초시 청호로 122,,,,,
,강원도,춘천시,관광지,강아지숲 테마파크,033-913-1400,강원도 춘천시 남산면 충효로 437,,,,,
,강원도,영월군,관광지,물무리골생태습지,1577-0545,강원도 영월군 영월읍 영월로 1713-12,,,,,
,강원도,정선군,관광지,하늘길,1588-7789,강원도 정선군 고한읍 고한7길 399,,,,,
,경기도,오산시,공원,오산반려동물테마파크,,경기도 오산시 오산천로72,"내부 시설 09:00~18:00, 야외 운동장 6~9월 10:00~20:00, 10~5월 10:00~18:00 / 월요일, 1월 1일, 설·추석 당일 휴무",https://www.osan.go.kr/petpark/,,,
,경기도,고양시,공원,일산서구 반려동물공원,031-8075-4602,경기도 고양시 일산서구 대화동 1993,상시개방,,,,
,경기도,이천시,"공원, 애견운동장",달려라 코코,031-645-0087,경기도 이천시 마장면 덕이로154번길 287-76 덕평자연휴게소 내,"힐링파크 10:00~19:00, 하절기(주말 및 공휴일) 10:00~20:00, 동절기 10:00~18:00, 인스타웨이 10:00~18:00, 런독스파크 11:00~18:00, 소형견 물놀이장(6~8월) 11:00~18:00 / 화요일 휴무",http://runkoko.com,,,
,경기도,안성시,공원,안성맞춤랜드,031-678-2672,경기도 안성시 보개면 남사당로 198,상시개방,https://www.anseong.go.kr/tour/contents.do?mId=0103010100,,,
,경기도,양평군,"공원, 숙박",국립산음자연휴양림,031-774-8131,경기도 양평군 단월면 고북길 347,숙박 4~10월 15:00~다음날 11:00(11~3월 미운영) / 일일 개장 09:00~18:00 / 화요일 휴무,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0103,,,
,경기도,수원시,공원,광교호수공원 반려견 놀이터,031-228-4192,경기도 수원시 영통구 하동 1008-9,화~일요일 10:00~22:00 / 월요일 휴무 / 동절기 강설 및 우천 등으로 놀이터 운동장 이용이 어려울 경우 개장하지 않음,http://instagram.com/ermosaspizza,,,
,경상남도,거제시,식당,고가네생선구이,,,매일 08:00~21:00,"https://goganee.modoo.at,http://goganee.cityfood.co.kr/",Y,N,전화예약
,경상남도,진주시,식당,동아반점,,,매일 09:00~21:00,http://www.odr.kr/m8ew49,N,N,
,경상남도,남해군,식당,계절별미,,,"평일 11:30~21:00, 토요일 11:30~20:30",http://instagram.com/namhae_sesonal.byulmi,N,Y,전화예약
,경상남도,합천군,식당,국일식당,,,매일 08:00~20:00,https://gukil.modoo.at/,N,Y,
,경상남도,진주시,식당,한길횟집,,,매일 12:00~22:00,http://cityfood.co.kr/h3/hangil,Y,Y,전화예약
,경상남도,창원시,카페,청년다방(창원경남대점),,,매일 11:00~22:00,"http://www.youngdabang.com/,http://www.instagram.com/youngdabang_no.1,http://www.facebook.com/youngdabang.kr",N,N,
,경상남도,김해시,카페,빽다방(인제점),,,매일 09:00~23:00,http://theborn.co.kr/,N,Y,
,경상남도,창원시,카페,청년다방(창원상남점),,,매일 11:00~22:00,"http://www.youngdabang.com/,http://www.instagram.com/youngdabang_no.1,http://www.facebook.com/youngdabang.kr",Y,Y,전화예약
,경상남도,김해시,카페,청년다방(김해내동점),,,매일 11:00~10:00,"http://www.youngdabang.com/,http://www.instagram.com/youngdabang_no.1,http://www.facebook.com/youngdabang.kr",N,N,
,경상남도,창원시,카페,청년다방(창원합성점),,,매일 11:00~22:00,"http://www.youngdabang.com/,http://www.instagram.com/youngdabang_no.1,http://www.facebook.com/youngdabang.kr",N,N,
,경상남도,거제시,동물병원,장승포가축병원,055-681-2821,경상남도 거제시 장승포로1길 17 (장승포동),,,,,
,경상남도,거제시,동물병원,신현동물병원,055-636-8272,경상남도 거제시 거제중앙로 1830-1 (고현동),,,,,
,경상남도,거제시,동물병원,상아동물병원,055-635-6004,경상남도 거제시 옥포로26길 23 (옥포동),,,,,
,경상북도,포항시,동물병원,영일가축병원,,경상북도 포항시 북구 흥해읍 남성리 327번지 2호 1통  ,,,,,
,경상북도,경주시,동물병원,현대동물병원,,경상북도 경주시 안강읍 산대리 2415번지 9호  ,,,,,
,강원도,,,,,,,,,,
,대구광역시,동구,동물병원,박동물병원,053-959-3959,대구광역시 동구 아양로 227 (신암동),,,,,
,대구광역시,동구,동물병원,박순복동물병원,053-942-3759,대구광역시 동구 아양로 246 (효목동),,,,,
,대구광역시,동구,동물병원,킴스동물병원,053-744-5757,대구광역시 동구 화랑로 413 (방촌동),,,,,
,대구광역시,동구,동물병원,변수의과의원,053-983-2069,대구광역시 동구 동촌로 154 (검사동),,,,,
,대구광역시,동구,동물병원,21세기종합동물병원,053-959-0121,대구광역시 동구 아양로 216 (효목동),,,,,
,대전광역시,서구,동물병원,정 동물병원,,대전광역시 서구 괴정동 80번지 2호 101호 ,,,,,
,대전광역시,서구,동물병원,월평동물병원,,대전광역시 서구 월평동 285번지 1호 ,,,,,
,대전광역시,서구,동물병원,안호영동물병원,,대전광역시 서구 갈마동 293번지 5호 ,,,,,
,대전광역시,서구,동물병원,참동물병원,,대전광역시 서구 도마동 129번지 16호 ,,,,,
,대전광역시,서구,동물병원,엄마손동물병원,,대전광역시 서구 도마동 185번지 1호 ,,,,,
,충청북도,청주시,동물병원,제일동물병원,,충청북도 청주시 상당구 석교동 245번지 ,,,,,
,충청북도,청주시,동물병원,강내동물병원,043-233-2145,충청북도 청주시 흥덕구 강내면 가로수로540-1,,,,,
,충청북도,제천시,동물병원,명진동물병원,043-645-8272,충청북도 제천시 원뜰로34,,,,,
,충청북도,진천군,동물병원,CM동물병원,043-533-8868,충청북도 진천군 광혜원면 화랑2길 12-4 1층,,,,,
,충청북도,음성군,동물병원,음성동물병원,043-872-2262,충청북도 음성군 음성읍 중앙로 142,,,,,
,부산광역시,부산진구,식당,이자카야 타비타비,,,휴무 일,http://instagram.com/seomyeon_tabitabi,N,Y,전화예약
,부산광역시,부산진구,식당,서면연탄갈비,,,매일 00:00~24:00 ,"https://www.instagram.com/smyeontangalbi,https://bit.ly/2ZcaKRj,https://www.facebook.com/smyeontangalbi",Y,Y,전화예약
,부산광역시,부산진구,식당,신촌깻잎떡볶이,,,매일 00:00~24:00 / 휴무 수,http://www.instagram.com/sinchon_duk,N,N,전화예약
,부산광역시,동래구,식당,최만순의약선요리(직영1호점),,,매일 10:00~21:00,"https://yakseon.modoo.at,http://www.instagram.com/choiswellbeingfood_restaurant,http://www.facebook.com/yakseon/",Y,N,전화예약
,부산광역시,서구,식당,마이반,,,휴무 일,http://instagram.com/mybarn,N,N,전화예약 / 온라인예약
,부산광역시,금정구,카페,카페 4월의 뜰,,,,http://www.instagram.com/cafe_garden_april,N,Y,전화예약
,부산광역시,남구,카페,카페 러마프,,,"평일 10:00~19:30, 토요일 10:00~18:00 / 휴무 일",http://www.instagram.com/cafelmf,Y,Y,
,부산광역시,부산진구,카페,카페 제이스페이스,,,"평일 10:00~21:00, 주말 11:00~20:00",http://www.instagram.com/jspace_cafe,Y,Y,전화예약
,부산광역시,영도구,카페,카페드220볼트,,,매일 10:00~23:00,"http://www.instagram.com/cafede220volt,http://www.facebook.com/cafede220volt,https://blog.naver.com/de220volt,https://cafede220volt.modoo.at",Y,Y,
,부산광역시,기장군,카페,카페백지,,,매일 11:00~21:30,http://instagram.com/cafe_baekji,N,Y,전화예약
,부산광역시,사상구,미용,핫독애견,051-893-6532,부산광역시 사상구 사상로250번길 41-7 (괘법동),,,,,
,부산광역시,사상구,미용,야옹아 멍멍해봐,051-326-0049,부산광역시 사상구 사상로 162 (괘법동),,,,,
,부산광역시,사하구,미용,착한 강아지,051-204-7568,"부산광역시 사하구 낙동대로 194, 1층 (괴정동)",,,,,
,부산광역시,동구,"미용, 위탁관리업",멍's살롱,,"부산광역시 동구 고관로29번길 12, 2층 (초량동)",,,,,
,부산광역시,,미용,,,,,,,,
,부산광역시,동구,위탁관리업,J@야니스타일,051-442-5750,부산광역시 동구 수정동로 4 (수정동),,,,,
,부산광역시,동구,"동물병원, 위탁관리업",시민동물병원,051-464-5975,"부산광역시 동구 초량상로 84-1, 시민동물병원 1층 (초량동)",,,,,
,부산광역시,동구,동물병원,제일동물병원,051-467-2876,부산광역시 동구 초량상로 83 (초량동),,,,,
,부산광역시,중구,미용,퓨펜애견,051-241-3885,"부산광역시 중구 흑교로 34, 가동 1호 (부평동2가, 부평맨션)",,,,,
,부산광역시,중구,미용,부평애견사,051-244-2049,부산광역시 중구 흑교로 16 (부평동2가),,,,,
,부산광역시,중구,미용,피닉스애견미용,051-246-7551,부산광역시 중구 구덕로 30-1 (남포동2가),,,,,
,부산광역시,중구,"미용, 위탁관리업",봉구애견미용샵,070-4064-2201,"부산광역시 중구 초량상로5번길 8, 2층 (영주동)",,,,,
,부산광역시,중구,"미용, 위탁관리업",메리몰펫샵,051-469-4947,"부산광역시 중구 중구로 140, 3층 (동광동5가)",,,,,
,부산광역시,중구,"미용, 위탁관리업",왈왈,,부산광역시 중구 대영로 217 (영주동),,,,,
,부산광역시,금정구,동물병원,지동범 동물 안과 치과 병원,051-515-7450,"부산광역시 금정구 부곡로 184, 1,2층 (부곡동)",,,,,
,부산광역시,금정구,동물병원,부곡동물병원,051-517-9247,부산광역시 금정구 부곡로 86 (부곡동),,,,,
,부산광역시,동래구,동물병원,재생동물병원,051-555-4130,부산광역시 동래구 충렬대로 268-1 (낙민동),,,,,
,부산광역시,동래구,동물병원,안락동물병원,051-556-8747,부산광역시 동래구 안연로98번길 4 (안락동),,,,,
,울산광역시,울주군,동물병원,초록동물병원,052-262-6114,울산광역시 울주군 삼남읍 상평강변길 3,,,,,
,울산광역시,울주군,동물병원,온양 발리동물병원,052-239-7585,울산광역시 울주군 온양읍 보곡3길 40,,,,,
,울산광역시,울주군,동물병원,와우동물병원,052-225-0075,울산광역시 울주군 언양읍 읍성로 135,,,,,
,울산광역시,울주군,동물병원,서울산 동물병원,,울산광역시 울주군 삼남읍 중남로 72,,,,,
,울산광역시,울주군,동물병원,남창미르동물병원,052-238-7511,울산광역시 울주군 온양읍 대운길 12,,,,,
,인천광역시,미추홀구,미용,아라종합동물병원,032-886-0079,인천광역시 미추홀구 주안로 73 (주안동),,,,,
,인천광역시,미추홀구,미용,강사모백화점,032-881-4544,"인천광역시 미추홀구 낙섬중로91번길 4, 1층 (용현동)",,,,,
,인천광역시,미추홀구,미용,한국동물병원,032-887-2952,인천광역시 미추홀구 낙섬중로 25 (용현동),,,,,
,인천광역시,미추홀구,미용,버블멍,032-889-1357,인천광역시 미추홀구 수봉로 26 (숭의동),,,,,
,인천광역시,미추홀구,미용,브라운동물병원,032-889-7582,"인천광역시 미추홀구 독배로432번길 3, 1층 (숭의동)",,,,,
,인천광역시,미추홀구,위탁관리업,아라종합동물병원,032-886-0079,인천광역시 미추홀구 주안로 73 (주안동),,,,,
,인천광역시,미추홀구,위탁관리업,펫앤펫,032-432-8557,인천광역시 미추홀구 경인로 500 (주안동),,,,,
,인천광역시,미추홀구,위탁관리업,아이러브펫AC,032-875-7566,"인천광역시 미추홀구 소성로 6, 홈플러스 지하층 (용현동)",,,,,
,인천광역시,미추홀구,위탁관리업,멍튜브,070-7543-4208,"인천광역시 미추홀구 주안로213번길 10-1, 8층 (주안동)",,,,,
,인천광역시,미추홀구,위탁관리업,학익동물병원,032-868-2626,"인천광역시 미추홀구 한나루로 379, 1층 (학익동)",,,,,
,인천광역시,서구,미용,스퀘어독스,,인천광역시 서구 연희동 788-10 ,,,,,
,인천광역시,서구,미용,오펫,,인천광역시 서구 검암동 513-1 힘찬프라자 ,,,,,
,인천광역시,서구,미용,놀아주시개,,인천광역시 서구 가좌동 78-15 ,,,,,
,인천광역시,서구,미용,꽃길 걷는 고양이,,인천광역시 서구 가정동 613-14 ,,,,,
,인천광역시,서구,미용,푸들리,,인천광역시 서구 심곡동 290 ,,,,,
,인천광역시,서구,위탁관리업,오펫,,"인천광역시 서구 승학로 584, 힘찬프라자 105호 (검암동)",,,,,
,인천광역시,서구,위탁관리업,펫토피아,,인천광역시 서구 청라커낼로 270 (경서동),,,,,
,인천광역시,서구,위탁관리업,Just Grooming,,"인천광역시 서구 청라커낼로288번길 8-10, 청라 봄 빌딩 B108호 (경서동)",,,,,
,인천광역시,서구,위탁관리업,동물에반하다동물병원,,"인천광역시 서구 크리스탈로102번길 22, 101호 (경서동)",,,,,
,인천광역시,중구,미용,새봄애견샵,,인천광역시 중구 운중로 198 (중산동),,,,,
,인천광역시,중구,미용,빼로살롱,,"인천광역시 중구 하늘중앙로225번길 23, 영종스카이 오피스텔 103호 (중산동)",,,,,
,인천광역시,중구,미용,숲속 동물병원,,"인천광역시 중구 자연대로 40, 비젼프라자 II 109호 (중산동)",,,,,
,인천광역시,중구,미용,하늘 동물병원,,"인천광역시 중구 영종대로 90, 시에로빌오피스 103호 (운서동)",,,,,
,인천광역시,중구,미용,우프우프,,"인천광역시 중구 하늘달빛로64번길 6-3, 스카이 메디컬 프라자 401호 (중산동)",,,,,
,인천광역시,중구,숙박,놀러가개? 나도놀개!,032-752-9944,인천광역시 중구 운중로14번길 28 (운남동),,,,,
,인천광역시,중구,숙박,A.N.D (에이앤디),032-747-0669,인천광역시 중구 백운로107번길 68-7 (운남동),,,,,
,인천광역시,중구,숙박,숲속 동물병원,032-752-4575,"인천광역시 중구 자연대로 40, 비젼프라자 II 109호 (중산동)",,,,,
,인천광역시,중구,숙박,우프우프,032-752-8588,"인천광역시 중구 하늘달빛로64번길 6-3, 스카이 메디컬 프라자 401호 (중산동)",,,,,
,인천광역시,중구,숙박,펫38도씨,070-4145-8882,인천광역시 중구 운중로 99 (운남동),,,,,
,인천광역시,중구,동물병원,현대동물병원,,인천광역시 중구 신흥동3가 6번지 11호  ,,,,,
,인천광역시,동구,동물병원,미라클 동물병원,,인천광역시 연수구 송도동 21번지 65호 현대힐스테이트 602동 143호 ,,,,,
,인천광역시,연수구,동물병원,아름다운 동물병원,,인천광역시 연수구 송도동 3번지 29호 서운프라자 ,,,,,
,인천광역시,남동구,동물병원,소망동물병원,,인천광역시 남동구 구월동 1149번지 5호 1층 ,,,,,
,인천광역시,부평구,동물병원,도그앤캣동물병원,,인천광역시 부평구 부평동 341번지 160호  ,,,,,
,전라북도,전주시,카페,카페더헤링본,,,,,Y,Y,레드테이블
,전라북도,전주시,카페,카페오월,,,매일 11:00~22:00,https://www.instagram.com/_cafe.may_,Y,Y,레드테이블
,전라북도,전주시,카페,1993수제디저트카페,,,휴무 월,http://1993dessert.modoo.at,N,N,네이버 / 레드테이블
,전라북도,전주시,카페,카페 914-4,,,매일 11:00~21:00,https://www.instagram.com/cafe914_4,Y,Y,레드테이블
,전라북도,전주시,카페,마노아카페,,,매일 10:00~22:00,https://www.facebook.com/전주카페마노아-2031052383775016/,Y,Y,레드테이블
,전라북도,전주시,식당,PNB풍년제과 본점,,,매일 08:00~22:30,http://pnb본점.com/,N,N,레드테이블
,전라북도,전주시,식당,피자브릭,,,"매일 11:00~22:00, 평일 11:00~22:00",http://makeus.net/33350,Y,Y,전화예약 / 레드테이블
,전라북도,전주시,식당,메르밀 진미집,,,매일 10:00~19:30,https://smartstore.naver.com/mjinmi,Y,N,레드테이블
,전라북도,전주시,식당,짬뽕명가,,,매일 10:00~21:00,http://www.odr.kr/mmmwkb,Y,N,전화예약
,전라북도,전주시,식당,성미당,,,,http://seongmidang.modoo.at/ 휴무 월,Y,Y,레드테이블
,전라북도,전주시,동물병원,21세기 동물병원,063-251-1015,전라북도 전주시 덕진구 시천로 26 (송천동1가),,,,,
,전라북도,전주시,동물병원,24시 올리몰스 동물 메디컬 센터,063-275-7979,전라북도 전주시 덕진구 송천중앙로 213 (송천동1가),,,,,
,전라북도,전주시,동물병원,MVP동물병원,063-227-8575,"전라북도 전주시 완산구 세내로 285, 샘물아동병원 1층 108호 (효자동3가)",,,,,
,전라북도,전주시,동물병원,개린이 동물병원,,전라북도 전주시 완산구 서원로 168 (효자동2가),,,,,
,전라북도,전주시,동물병원,늘푸른 동물병원,063-281-0075,전라북도 전주시 완산구 충경로 11 (다가동3가),,,,,
,전라북도,완주군,동물병원,박동물병원,063-261-7189,전라북도 완주군 봉동읍 봉동로 133,,,,,
,전라북도,완주군,동물병원,우리가축병원,063-262-8575,전라북도 완주군 고산면 읍내1길 11,,,,,
,전라북도,완주군,동물병원,이영준동물병원,063-263-5100,전라북도 완주군 봉동읍 봉동동서로 40,,,,,
,전라북도,완주군,동물병원,연합동물병원,063-271-0457,전라북도 완주군 용진읍 완주로 179,,,,,
,전라북도,완주군,동물병원,태산동물병원,063-231-1605,전라북도 완주군 상관면 신리로 75,,,,,
,광주광역시,동구,동물병원,영재애견종합병원,062-527-8275,광주광역시 동구 필문대로 130-1 (산수동),,,,,
,광주광역시,동구,동물병원,황제 동물병원,062-227-1023,광주광역시 동구 의재로 27 (학동),,,,,
,광주광역시,동구,동물병원,신세계 동물병원,062-226-7585,광주광역시 동구 중앙로 150 (호남동),,,,,
,광주광역시,동구,동물병원,광주 한사랑동물병원,062-223-0075,광주광역시 동구 남문로 675 (학동),,,,,
,광주광역시,동구,동물병원,튼튼동물병원,062-511-7582,"광주광역시 동구 중앙로 358, 상가동 149호 (계림동, 금호계림주상복합)",,,,,
,광주광역시,서구,동물병원,다나동물병원,062-365-1491,광주광역시 서구 죽봉대로 42 (농성동),,,,,
,광주광역시,서구,동물병원,쿨펫동물병원,,"광주광역시 서구 시청로 40, 4층 (치평동, 롯데마트)",,,,,
,광주광역시,서구,동물병원,푸른동물병원,062-375-1613,광주광역시 서구 상일로 44 (쌍촌동),,,,,
,광주광역시,서구,동물병원,프렌즈동물병원,062-374-0128,"광주광역시 서구 상무민주로 90, 2층 (쌍촌동)",,,,,
,광주광역시,서구,동물병원,윌 동물외상센터,062-383-7595,광주광역시 서구 운천로 110-1 (쌍촌동),,,,,
,광주광역시,남구,동물병원,최광호동물병원,062-673-4047,광주광역시 남구 방림로 10 (방림동),,,,,
,광주광역시,남구,동물병원,고려동물병원,,광주광역시 남구 용대로 154-2 (방림동),,,,,
,광주광역시,남구,동물병원,봉선동물병원,,광주광역시 남구 봉선중앙로 94 (봉선동),,,,,
,광주광역시,남구,동물병원,비타동물의료센터,062-675-7600,광주광역시 남구 주월동 1279번지 20호 JM빌딩,,,,,
,광주광역시,남구,동물병원,센트럴,062-682-7553,광주광역시 남구 봉선로 198 (봉선동),,,,,
,광주광역시,북구,동물병원,무등동물병원,,광주광역시 북구 서림로 116 (임동),,,,,
,광주광역시,북구,동물병원,바이오컨설팅 & 신동물병원,062-525-1928,광주광역시 북구 임동로 6 (임동),,,,,
,광주광역시,북구,동물병원,유동물병원,062-526-3575,광주광역시 북구 서암대로 167 (신안동),,,,,
,광주광역시,북구,동물병원,굿모닝동물병원,062-573-7171,광주광역시 북구 설죽로 305 (용봉동),,,,,
,광주광역시,북구,동물병원,아나푸게안과동물병원,062-524-3663,광주광역시 북구 설죽로 191 (용봉동),,,,,
,광주광역시,광산구,동물병원,노창섭동물병원,,광주광역시 광산구 어등대로 589 (운수동),,,,,
,광주광역시,광산구,동물병원,밝은동물병원,062-962-3141,광주광역시 광산구 월곡산정로 67 (월곡동),,,,,
,광주광역시,광산구,동물병원,첨단우리동물병원,062-972-6675,광주광역시 광산구 첨단내촌로70번길 108-9 (월계동),,,,,
,광주광역시,광산구,동물병원,한빛동물병원,062-959-7558,광주광역시 광산구 수등로76번길 39-8 (신가동),,,,,
,광주광역시,광산구,동물병원,배선생펫스토리동물병원,062-951-7585,광주광역시 광산구 임방울대로 213 (신가동),,,,,
,광주광역시,동구,식당,먼데이오프플리즈(수제피자),,,,http://www.instagram.com/mondayoffplease,N,Y,
,광주광역시,동구,식당,하루키수필집(가스트로펍),,,매일 15:00~24:00,http://www.instagram.com/haruki_essay,N,Y,
,광주광역시,동구,식당,소복(덮밥),,,"매일 11:30~21:30, 평일 15:00~17:00",http://instagram.com/sobok_donn,Y,Y,
,광주광역시,동구,식당,아이엠낫얼론(칵테일바),,,,https://instagram.com/iamnotalone_cafe?igshid=1f9zrt3umvrd5,Y,Y,
,광주광역시,동구,카페,블루웨일,,,매일 11:00~23:00,https://www.instagram.com/cafe_bluewhale_,N,Y,
,광주광역시,동구,카페,베러댄와플(광주지산점),,,"평일 10:00~22:00, 토요일 12:00~20:00 / 휴무 일",https://www.instagram.com/betterthanwaffle_jisan,Y,Y,
,광주광역시,동구,카페,웨어하우스,,,매일 11:00~22:00,http://instagram.com/kafe.warehouse,N,Y,
,광주광역시,동구,카페,완소커피,,,휴무 화,http://instagram.com/wansocoffee,Y,Y,
,광주광역시,동구,카페,리밋,,,매일 12:00~22:00,http://instagram.com/_limit.__,N,Y,
,제주특별자치도,제주시,동물병원,24시동물병원,064-702-2475,,,,,,
,제주특별자치도,제주시,동물병원,24시똑똑똑 동물메디컬센터,064-749-7585,,,,,,
,제주특별자치도,제주시,동물병원,강남동물병원,064-723-2005,,,,,,
,제주특별자치도,제주시,동물병원,꿈동물병원,064-744-1128,,,,,,
,제주특별자치도,제주시,동물병원,나아라 동물병원,064-799-7582,,,,,,
,제주특별자치도,서귀포시,동물병원,가람동물병원,,제주특별자치도 서귀포시 대정읍 최남단해안로29번길 22,,,,,
,제주특별자치도,서귀포시,동물병원,남원동물병원,,제주특별자치도 서귀포시 남원읍 태위로 687,,,,,
,제주특별자치도,서귀포시,동물병원,다산동물병원,,제주특별자치도 서귀포시 표선면 일주동로6496번길 2,,,,,
,제주특별자치도,서귀포시,동물병원,동물병원도담도담,,제주특별자치도 서귀포시 남원읍 태위로723번길 31-11,,,,,
,제주특별자치도,서귀포시,동물병원,동아동물병원,,제주특별자치도 서귀포시 성산읍 서성일로 1241,,,,,
,경기도,용인시,반려동물 편의시설(놀이터),용인(강릉) 휴게소,,,24시간,,,,
,경기도,이천시,반려동물 편의시설(놀이터),덕평 휴게소,,,10:00~19:00(동절기 18시까지),,,,
,충청북도,충주시,반려동물 편의시설(놀이터),충주(양평) 휴게소,,,24시간,,,,
,충청북도,단양군,반려동물 편의시설(놀이터),단양팔경(부산) 휴게소,,,24시간,,,,
,충청북도,음성군,반려동물 편의시설(놀이터),금왕(제천) 휴게소,,,24시간,,,,
,경상북도,상주시,반려동물 편의시설(놀이터),화서(영덕) 휴게소,,,24시간,,,,
,충청북도,청원군 ,반려동물 편의시설(놀이터),죽암(서울) 휴게소,,,24시간,,,,
