연번,시도명,시군구명,읍면동명,업체명,지번,연락처,신고일자,형태,위도,경도,데이터기준일자
30,제주특별자치도,제주시,애월읍,서진동물병원,제주특별자치도 제주시 애월읍 상가리 산 106,000-0000-0000,2007-06-18,산업,33.393225,126.382942,2021-12-21
31,제주특별자치도,제주시,화북일동,송동물병원,제주특별자치도 제주시 화북일동 1984-9,064-759-8275,2001-07-09,반려,33.518984,126.565297,2021-12-21
32,제주특별자치도,제주시,삼도일동,수동물병원,제주특별자치도 제주시 삼도일동 539-2,064-753-3375,2014-06-09,반려,33.504097,126.520139,2021-12-21
33,제주특별자치도,제주시,노형동,신제주동물병원,제주특별자치도 제주시 노형동 720-3,064-744-2992,1995-12-13,반려,33.481314,126.482688,2021-12-21
34,제주특별자치도,제주시,연동,씨엔에프 팜테크,제주특별자치도 제주시 연동 2413-4,000-0000-0000,2018-10-16,산업,33.49314,126.47983,2021-12-21
35,제주특별자치도,제주시,아라일동,아라동물병원,제주특별자치도 제주시 아라일동 6139,064-724-7588,2015-01-28,산업,33.471434,126.545777,2021-12-21
36,제주특별자치도,제주시,노형동,예서동물병원,제주특별자치도 제주시 노형동 1057-2 노형이화2차아파트 ,064-749-1801,2013-01-02,반려,33.487856,126.474961,2021-12-21
37,제주특별자치도,제주시,한림읍,우리동물병원(산업),제주특별자치도 제주시 한림읍 금악리 116 성이시돌피정의집 ,064-743-7585,2002-01-28,산업,33.345833,126.32182,2021-12-21
38,제주특별자치도,제주시,한림읍,우정동물병원,제주특별자치도 제주시 한림읍 귀덕리 154-1,000-0000-0000,2018-11-21,산업,33.421125,126.297418,2021-12-21
39,제주특별자치도,제주시,연동,웰니스 동물병원,제주특별자치도 제주시 연동 280-28 진빌딩 ,064-711-7572,2015-11-26,반려,33.493026,126.491614,2021-12-21
40,제주특별자치도,제주시,애월읍,웰빙동물병원,제주특별자치도 제주시 애월읍 광령리 3068-1 광령2리복지회관 ,064-725-5106,2008-11-12,산업,33.449321,126.42949,2021-12-21
41,제주특별자치도,제주시,한림읍,유성동물병원,제주특별자치도 제주시 한림읍 동명리 705-5,064-796-4451,2006-07-20,산업,33.397343,126.272277,2021-12-21
42,제주특별자치도,제주시,일도일동,으뜸동물병원,제주특별자치도 제주시 일도일동 1177-2,000-0000-0000,2021-08-18,산업,33.513101,126.529959,2021-12-21
43,제주특별자치도,제주시,도련일동,이루다 동물병원,제주특별자치도 제주시 도련일동 1917-1,064-725-1545,2019-11-07,반려,33.516741,126.581378,2021-12-21
44,제주특별자치도,제주시,노형동,이룸동물병원,제주특별자치도 제주시 노형동 2838,064-748-2838,2020-08-04,반려,33.485721,126.465989,2021-12-21
45,제주특별자치도,제주시,일도이동,이소영동물병원,제주특별자치도 제주시 일도이동 72-4,064-722-3375,1999-07-12,반려,33.500984,126.544796,2021-12-21
46,제주특별자치도,제주시,일도이동,이스턴동물병원,제주특별자치도 제주시 일도이동 72-2,064-757-8275,2016-08-31,반려,33.501105,126.545036,2021-12-21
47,제주특별자치도,제주시,한림읍,이의종동물병원,제주특별자치도 제주시 한림읍 한림리 1290-2,064-799-3022,1979-11-28,혼합,33.415321,126.266862,2021-12-21
48,제주특별자치도,제주시,한림읍,이호동물병원,제주특별자치도 제주시 한림읍 금악리 595-1,064-796-6120,2006-01-31,산업,33.353865,126.31574,2021-12-21
49,제주특별자치도,제주시,한림읍,제일동물병원,제주특별자치도 제주시 한림읍 금악리 2093-1,064-796-7111,2003-09-09,산업,33.359327,126.29665,2021-12-21
50,제주특별자치도,제주시,이도이동,제주 키움 동물병원,제주특별자치도 제주시 이도이동 1860-1,064-725-7579,2019-05-28,반려,33.496242,126.53251,2021-12-21
51,제주특별자치도,제주시,조천읍,제주 현 동물병원,제주특별자치도 제주시 조천읍 신촌리 2549,000-0000-0000,2020-02-26,산업,33.534419,126.617993,2021-12-21
52,제주특별자치도,제주시,아라일동,제주대학교 말전문동물병원,제주특별자치도 제주시 아라일동 6-27,064-725-0175,2017-12-15,산업,33.446992,126.56271,2021-12-21
53,제주특별자치도,제주시,아라일동,제주대학교 수의과대학 부설동물병원,제주특별자치도 제주시 아라일동 1,064-754-3381,1995-10-20,혼합,33.451344,126.558851,2021-12-21
54,제주특별자치도,제주시,아라일동,제주대학교 야생동물구조센터,제주특별자치도 제주시 아라일동 6-94,064-752-9582,2010-12-10,산업,33.443668,126.564703,2021-12-21
55,제주특별자치도,제주시,영평동,제주동물메디컬센터,제주특별자치도 제주시 영평동 188-4,000-0000-0000,2013-04-19,산업,33.488807,126.581507,2021-12-21
56,제주특별자치도,제주시,애월읍,제주동물병원,제주특별자치도 제주시 애월읍 하귀1리 197-1,064-747-5006,2015-09-25,산업,33.484171,126.412266,2021-12-21
57,제주특별자치도,제주시,한림읍,제주양돈농협 동물병원,제주특별자치도 제주시 한림읍 한림리 925-1,064-796-8661,2013-05-09,산업,33.411169,126.266652,2021-12-21
58,제주특별자치도,제주시,노형동,제주오름산업동물병원,제주특별자치도 제주시 노형동 1897-5,000-0000-0000,2019-01-28,산업,33.463651,126.470708,2021-12-21
59,제주특별자치도,제주시,연동,제주온동물병원,제주특별자치도 제주시 연동 304-5,064-742-5875,2021-07-21,반려,33.485077,126.496026,2021-12-21
60,제주특별자치도,제주시,일도일동,제주축산업협동조합 동물병원,제주특별자치도 제주시 일도일동 1073,064-756-4204,2003-03-31,산업,33.513249,126.53098,2021-12-21
61,제주특별자치도,제주시,용강동,제주특별자치도 동물위생시험소 (동물보호센터) 동물병원,제주특별자치도 제주시 용강동 1065,064-710-4065,2018-04-16,반려,33.455515,126.589215,2021-12-21
62,제주특별자치도,제주시,한림읍,제주피그클리닉,제주특별자치도 제주시 한림읍 동명리 1695,064-796-1136,2018-12-29,산업,33.408565,126.258792,2021-12-21
63,제주특별자치도,제주시,구좌읍,준마동물병원,제주특별자치도 제주시 구좌읍 덕천리 1325,000-0000-0000,2020-12-14,산업,33.481558,126.751243,2021-12-21
64,제주특별자치도,제주시,연동,중앙동물병원,제주특별자치도 제주시 연동 1965-1,064-749-7582,2002-05-03,반려,33.491065,126.485429,2021-12-21
65,제주특별자치도,제주시,한림읍,지성동물병원,제주특별자치도 제주시 한림읍 금악리 2031-22,000-0000-0000,2015-08-31,산업,33.360653,126.297598,2021-12-21
66,제주특별자치도,제주시,연동,찬`s 동물병원,제주특별자치도 제주시 연동 276-11,064-746-7410,2014-12-03,반려,33.482557,126.490024,2021-12-21
67,제주특별자치도,제주시,용담일동,춘수동물병원,제주특별자치도 제주시 용담일동 301-4,064-721-0095,2018-10-11,반려,33.510597,126.514735,2021-12-21
68,제주특별자치도,제주시,조천읍,크라운 동물병원,제주특별자치도 제주시 조천읍 교래리 580,000-0000-0000,2020-12-07,산업,33.431295,126.678252,2021-12-21
69,제주특별자치도,제주시,이도이동,태흥동물병원,제주특별자치도 제주시 이도이동 76-17,064-722-3440,2007-04-04,산업,33.493846,126.549447,2021-12-21
70,제주특별자치도,제주시,이도이동,튼튼동물병원,제주특별자치도 제주시 이도이동 1987-14,064-757-7582,2014-01-14,반려,33.490565,126.538015,2021-12-21
71,제주특별자치도,제주시,한림읍,팜앤팜동물병원,제주특별자치도 제주시 한림읍 동명리 903-6,064-796-3610,2015-06-09,산업,33.393572,126.274791,2021-12-21
72,제주특별자치도,제주시,오라이동,퐁낭동물병원,제주특별자치도 제주시 오라이동 130-11,070-7719-6297,2011-08-08,산업,33.464456,126.51389,2021-12-21
73,제주특별자치도,제주시,이도일동,푸른동물병원,제주특별자치도 제주시 이도일동 1775-12,064-758-2013,1994-06-21,반려,33.500648,126.527704,2021-12-21
74,제주특별자치도,제주시,해안동,피그랑동물병원,제주특별자치도 제주시 해안동 1829-1,064-712-3347,2018-06-15,산업,33.454666,126.454619,2021-12-21
75,제주특별자치도,제주시,구좌읍,한국금호동물병원,제주특별자치도 제주시 구좌읍 한동리 3,000-0000-0000,2005-02-02,산업,33.539894,126.8354,2021-12-21
76,제주특별자치도,제주시,조천읍,한국마사회 제주육성목장 동물병원,제주특별자치도 제주시 조천읍 교래리 25-2,064-780-0141,2008-10-08,산업,33.417544,126.681774,2021-12-21
77,제주특별자치도,제주시,이도이동,한라동물의료센터,제주특별자치도 제주시 이도이동 1994-4,064-725-7577,2020-02-28,반려,33.492867,126.53821,2021-12-21
78,제주특별자치도,제주시,일도이동,한라동물종합병원,제주특별자치도 제주시 일도이동 321-10,064-753-0880,1992-03-10,반려,33.510869,126.539052,2021-12-21
79,제주특별자치도,제주시,한림읍,한림동물병원,제주특별자치도 제주시 한림읍 한림상로 114,064-900-9877,2016-01-13,반려,33.409805,126.265124,2021-12-21
80,제주특별자치도,제주시,해안동,한밭동물병원,제주특별자치도 제주시 해안동 1340-27,000-0000-0000,2014-01-29,산업,33.450626,126.45856,2021-12-21
81,제주특별자치도,제주시,한경면,한빛동물병원,제주특별자치도 제주시 한경면 저지리 2031-2,064-748-7572,2016-01-13,산업,33.336131,126.255852,2021-12-21
82,제주특별자치도,제주시,아라일동,한사랑 동물병원,제주특별자치도 제주시 아라일동 6116-11,064-747-3000,2016-05-27,반려,33.474536,126.548908,2021-12-21
83,제주특별자치도,제주시,봉개동,한서동물병원,제주특별자치도 제주시 봉개동 2417-1,064-784-0657,2005-08-30,산업,33.491282,126.591301,2021-12-21
84,제주특별자치도,제주시,한림읍,한수풀동물병원,제주특별자치도 제주시 한림읍 한림리 1361-3,064-796-4451,2008-06-04,반려,33.414308,126.263022,2021-12-21
85,제주특별자치도,제주시,노형동,해맑은동물병원,제주특별자치도 제주시 노형동 759,064-742-1868,2003-06-13,반려,33.476491,126.478367,2021-12-21
86,제주특별자치도,제주시,이도이동,해밀동물병원,제주특별자치도 제주시 이도이동 76-3,064-744-7582,1999-04-27,반려,33.494188,126.548943,2021-12-21
87,제주특별자치도,제주시,조천읍,해올동물병원,제주특별자치도 제주시 조천읍 교래리 552-4,064-732-2660,2017-09-29,산업,33.436791,126.680405,2021-12-21
88,제주특별자치도,제주시,오라삼동,행복한동물병원,제주특별자치도 제주시 오라삼동 2112,064-742-7425,2005-06-20,산업,33.492699,126.505971,2021-12-21
89,제주특별자치도,제주시,한림읍,현동물병원,제주특별자치도 제주시 한림읍 금악리 2094,000-0000-0000,2011-01-03,산업,33.359136,126.296533,2021-12-21
90,제주특별자치도,제주시,화북일동,호크마 동물병원,제주특별자치도 제주시 화북일동 4144-6,000-0000-0000,2017-03-23,산업,33.52169,126.561169,2021-12-21
91,제주특별자치도,서귀포시,표선면,25힐링센터,제주특별자치도 서귀포시 표선면 성읍리 1639-1,000-0000-0000,2019-10-18,산업,33.393749,126.799158,2021-12-21
92,제주특별자치도,서귀포시,대정읍,가람동물병원,제주특별자치도 서귀포시 대정읍 하모리 2142-7,064-794-7571,2005-09-07,혼합,33.21929,126.252763,2021-12-21
93,제주특별자치도,서귀포시,남원읍,남원동물병원,제주특별자치도 서귀포시 남원읍 남원리 100-2,064-764-1050,2020-02-20,반려,33.279454,126.719856,2021-12-21
94,제주특별자치도,서귀포시,표선면,다산동물병원,제주특별자치도 서귀포시 표선면 토산리 453-1,064-787-0582,2012-04-10,반려,33.307871,126.777975,2021-12-21
95,제주특별자치도,서귀포시,남원읍,동물병원도담도담,제주특별자치도 서귀포시 남원읍 남원리 214-7,064-764-7543,2018-09-17,반려,33.28173,126.721108,2021-12-21
96,제주특별자치도,서귀포시,성산읍,동아동물병원,제주특별자치도 서귀포시 성산읍 고성리 1064-7,064-782-1175,1996-04-27,혼합,33.447089,126.910904,2021-12-21
97,제주특별자치도,서귀포시,표선면,맑은동물병원,제주특별자치도 서귀포시 표선면 세화리 283-1,064-787-8886,2005-07-25,산업,33.306576,126.806364,2021-12-21
98,제주특별자치도,서귀포시,대정읍,미듬동물병원,제주특별자치도 서귀포시 대정읍 하모리 1423-18,000-0000-0000,2018-08-13,산업,33.225433,126.252327,2021-12-21
99,제주특별자치도,서귀포시,서귀동,서귀포동물의료센터,제주특별자치도 서귀포시 서귀동 285-4,064-763-7585,2013-03-12,반려,33.25197,126.562691,2021-12-21
100,제주특별자치도,서귀포시,동홍동,서귀포시축협동물병원,제주특별자치도 서귀포시 동홍동 496-1,064-733-1471,2015-10-01,산업,33.255036,126.576737,2021-12-21
101,제주특별자치도,서귀포시,서귀동,서울동물병원,제주특별자치도 서귀포시 서귀동 280-11,064-732-8762,1994-07-01,반려,33.251101,126.564038,2021-12-21
102,제주특별자치도,서귀포시,대정읍,에듀동물병원,제주특별자치도 서귀포시 대정읍 보성리 2476-10,064-794-7579,2020-03-17,반려,33.279739,126.276775,2021-12-21
103,제주특별자치도,서귀포시,강정동,이도씨 동물의료센터,제주특별자치도 서귀포시 강정동 159-8,064-739-2070,2020-08-13,반려,33.253959,126.506986,2021-12-21
104,제주특별자치도,서귀포시,법환동,정든동물병원,제주특별자치도 서귀포시 법환동 19-1,064-738-7975,2016-04-06,반려,33.253544,126.508641,2021-12-21
105,제주특별자치도,서귀포시,대정읍,정직한 동물병원,제주특별자치도 서귀포시 대정읍 보성리 2477,070-4647-4849,2020-06-03,반려,33.280722,126.2783,2021-12-21
106,제주특별자치도,서귀포시,대정읍,제마동물병원,제주특별자치도 서귀포시 대정읍 상모리 73-2,000-0000-0000,2016-02-04,산업,33.212141,126.29201,2021-12-21
107,제주특별자치도,서귀포시,서귀동,조은동물병원,제주특별자치도 서귀포시 서귀동 270-7,064-762-0243,2001-03-16,반려,33.250283,126.56491,2021-12-21
108,제주특별자치도,서귀포시,중문동,중문동물병원,제주특별자치도 서귀포시 중문동 1886-1,064-739-3111,2019-12-26,반려,33.251326,126.432973,2021-12-21
109,제주특별자치도,서귀포시,동홍동,캣츠앤독스 동물병원,제주특별자치도 서귀포시 동홍동 461-7,064-733-0071,2016-12-27,반려,33.254244,126.5672,2021-12-21
110,제주특별자치도,서귀포시,안덕면,케어팜동물병원,제주특별자치도 서귀포시 안덕면 사계리 3293-2,064-712-2215,2016-12-07,산업,33.232658,126.29048,2021-12-21
111,제주특별자치도,서귀포시,대정읍,펫밀리 동물병원,제주특별자치도 서귀포시 대정읍 상모리 3882-5,064-792-7580,2020-07-07,반려,33.226127,126.258221,2021-12-21
112,제주특별자치도,서귀포시,표선면,표선가축병원,제주특별자치도 서귀포시 표선면 표선리 779-1,064-787-2345,1975-05-16,산업,33.323827,126.832129,2021-12-21
113,제주특별자치도,서귀포시,동홍동,현대동물병원,제주특별자치도 서귀포시 동홍동 514-14,064-733-8250,1995-05-31,반려,33.256315,126.568244,2021-12-21
114,제주특별자치도,서귀포시,신효동,현클리닉,제주특별자치도 서귀포시 신효동 502-1,064-764-0799,2016-11-10,혼합,33.27386,126.609829,2021-12-21
