구별,동별,사업장명,인허가일자,소재지도로명주소,소재지지번주소,소재지전화번호
수정구,복정동,최재호 한방동물병원,2011-02-25,경기도 성남시 수정구 복정로 129 (복정동),경기도 성남시 수정구 복정동 645-5번지,070-7139-2235
분당구,분당동,활기찬동물병원,2011-01-05,"경기도 성남시 분당구 장안로 39, 한일빌딩 102-2호 (분당동)",경기도 성남시 분당구 분당동 90-1번지 한일빌딩 102-2호,031-781-7525
중원구,금광동,에코바이오,2006-09-01,경기도 성남시 중원구 산성대로420번길 3 (금광동),경기도 성남시 중원구 금광동 4605번지,031-733-1330
분당구,정자동,상록 동물병원,1995-08-17,경기도 성남시 분당구 정자로 78 (정자동),경기도 성남시 분당구 정자동 126-1번지,031-716-8275
분당구,정자동,24시 폴 동물병원,2016-04-28,"경기도 성남시 분당구 성남대로 385, 102호 (정자동, 분당클리닉빌딩)",경기도 성남시 분당구 정자동 15-2번지,031-717-7558
분당구,이매동,이매 동물병원,2016-04-28,"경기도 성남시 분당구 성남대로779번길 17, 1층 (이매동, 포티스빌딩)",경기도 성남시 분당구 이매동 106-3번지,031-703-7582
분당구,판교동,이진수동물병원,2015-10-30,"경기도 성남시 분당구 운중로243번길 3-6, 1층 (판교동)",경기도 성남시 분당구 판교동 619-9번지,031-726-7582
분당구,백현동,백현 동물병원,2015-09-23,"경기도 성남시 분당구 동판교로52번길 6, 외 1필지(분당구 동판교로52번길 8) 1층 (백현동)",경기도 성남시 분당구 백현동 597-1,031-705-7511
분당구,삼평동,알로하 동물병원,2013-02-13,"경기도 성남시 분당구 동판교로177번길 25, 101·102·103호 (삼평동, 판교 호반 써밋 플레이스)",경기도 성남시 분당구 삼평동 740 판교 호반 써밋 플레이스,031-8017-6125
중원구,하대원동,서현 동물병원,2013-02-01,"경기도 성남시 중원구 성남대로 1110, 1층 (하대원동)",경기도 성남시 중원구 하대원동 100-7,031-754-4829
분당구,백현동,AtoZ동물병원,2013-01-14,"경기도 성남시 분당구 판교역로 145, 라스트리트2동 2층 213호 (백현동, 알파리움2단지)",경기도 성남시 분당구 백현동 530 알파리움2단지,031-8016-8206
분당구,정자동,분당파크뷰 동물병원,2012-11-02,"경기도 성남시 분당구 정자일로 248, 112호 (정자동, 파크뷰상가)",경기도 성남시 분당구 정자동 6번지 파크뷰상가 112호,031-713-2111
수정구,신흥동,초이종합동물병원,2012-08-17,경기도 성남시 수정구 시민로 159 (신흥동),경기도 성남시 수정구 신흥동 5168번지,031-758-7776
중원구,성남동,모란동물병원,2012-08-10,"경기도 성남시 중원구 성남대로 1126, 106호 (성남동, 매가프라자)",경기도 성남시 중원구 성남동 4123번지 매가프라자 106호,031-752-7779
분당구,서현동,서현동물병원,2009-11-12,"경기도 성남시 분당구 중앙공원로31번길 42, 서현파크플라자 1층 142호 (서현동)",경기도 성남시 분당구 서현동 89 서현파크플라자 142호,031-707-3334
분당구,정자동,우리동물병원,2009-07-28,경기도 성남시 분당구 백현로156번길 17-2 (정자동),경기도 성남시 분당구 정자동 56-1번지,031-719-5725
수정구,태평동,건국 동물병원,2009-07-02,"경기도 성남시 수정구 수정로 131, 109호 (태평동, 낙원스카이뷰)",경기도 성남시 수정구 태평동 3659번지 낙원스카이뷰 109호,031-721-4111
분당구,서현동,분당중앙 동물병원,2009-05-13,"경기도 성남시 분당구 중앙공원로39번길 49, 서현 지엔느 108호 (서현동)",경기도 성남시 분당구 서현동 88번지 서현 지엔느 108호,031-708-8875
분당구,정자동,펫플러스 동물병원,2009-04-16,"경기도 성남시 분당구 느티로 16, 젤존타워1 117호 (정자동)",경기도 성남시 분당구 정자동 17-1번지 젤존타워1 117호,031-713-8391
분당구,서현동,Dr. 오즈 동물병원,2015-05-28,"경기도 성남시 분당구 분당로263번길 39, 109호 (서현동, 레이디파크)",경기도 성남시 분당구 서현동 312-1번지 109호,031-701-8225
중원구,상대원동,엘앰시 동물병원,2009-03-09,"경기도 성남시 중원구 사기막골로 124, 비즈동 912호 (상대원동, SK테크노파크)",경기도 성남시 중원구 상대원동 190-1번지 SK테크노파크 비즈동 912호,031-776-2524
분당구,서현동,아프리카 동물병원,2008-10-07,"경기도 성남시 분당구 서현로 170, 풍림아이원플러스 108호 (서현동)",경기도 성남시 분당구 서현동 255-1번지 풍림아이원플러스 108호,031-705-7776
중원구,성남동,조은동물병원,2004-01-14,"경기도 성남시 중원구 광명로142번길 3, 미래타운 B101호 (성남동)",경기도 성남시 중원구 성남동 2759 미래타운,031-741-1701
분당구,구미동,쿨펫동물병원,2003-01-14,"경기도 성남시 분당구 탄천상로151번길 20, 월드쇼핑 삼성SDA (구미동)",경기도 성남시 분당구 구미동 159번지 월드쇼핑 삼성SDA,031-711-7509
수정구,신흥동,가나동물병원,2001-07-14,"경기도 성남시 수정구 수정로 160 (신흥동, 신흥상가)",경기도 성남시 수정구 신흥동 5536번지,031-721-7582
분당구,서현동,해마루동물병원,2000-02-10,경기도 성남시 분당구 황새울로319번길 8-6 (서현동),경기도 성남시 분당구 서현동 272-5,031-781-2992
분당구,금곡동,행복이있는동물병원,1998-06-12,"경기도 성남시 분당구 돌마로 79, 104호 (금곡동, 썬프라자)",경기도 성남시 분당구 금곡동 153번지 썬프라자 104호,031-714-8275
중원구,은행동,25시 동물병원,2018-05-01,경기도 성남시 중원구 산성대로504번길 1 (은행동),경기도 성남시 중원구 은행동 1589,031-731-0025
중원구,여수동,분당밝은아이동물병원,2018-04-16,"경기도 성남시 중원구 성남대로997번길 51-16, 1층 (여수동)",경기도 성남시 중원구 여수동 312번지,031-754-0201
분당구,운중동,프라임동물병원,2012-06-11,"경기도 성남시 분당구 운중로 124, 204호 (운중동, 마크시티 블루)",경기도 성남시 분당구 운중동 945번지,031-8017-9975
분당구,구미동,현대 동물병원,2012-03-23,"경기도 성남시 분당구 성남대로 30, 111호 (구미동, 동아그린프라자)",경기도 성남시 분당구 구미동 185-5번지 동아그린프라자 111호,031-718-7282
분당구,운중동,수 동물병원,2012-03-19,"경기도 성남시 분당구 운중로 135, 101·102호 (운중동, 더원스퀘어)",경기도 성남시 분당구 운중동 965번지 더원스퀘어 101·102호,031-8017-0130
분당구,이매동,수아동물병원,2011-12-21,"경기도 성남시 분당구 판교로 446, 108호 (이매동, 그린프라자)",경기도 성남시 분당구 이매동 131-8번지 108호,031-708-3100
분당구,서현동,우성동물병원,1996-04-16,"경기도 성남시 분당구 돌마로 481, 분당우성프라자 (서현동)",경기도 성남시 분당구 서현동 95번지 분당우성프라자,031-707-1776
수정구,태평동,시드니동물병원,2011-10-04,경기도 성남시 수정구 태평로 10 (태평동),경기도 성남시 수정구 태평동 5104번지,031-723-7508
분당구,구미동,나라 동물병원,2011-08-16,"경기도 성남시 분당구 미금로 48, 오성프라자 113호 (구미동)",경기도 성남시 분당구 구미동 205-1번지 오성프라자 113호,031-712-0707
분당구,수내동,남현우동물병원,2011-08-16,"경기도 성남시 분당구 내정로173번길 11, 603동 139호 (수내동, 양지마을한양아파트)",경기도 성남시 분당구 수내동 29번지 양지마을한양아파트 603동 139호,031-717-7577
분당구,판교동,정원 양한방동물병원,2010-05-26,"경기도 성남시 분당구 운중로 233, 201호 (판교동,한솔플라자)",경기도 성남시 분당구 판교동 621-2번지 한솔플라자 201호,031-707-7599
분당구,삼평동,판교 행복한 동물병원,2010-02-04,"경기도 성남시 분당구 동판교로 226, 204·205·206호 (삼평동, 봇들마을4단지아파트)",경기도 성남시 분당구 삼평동 718번지 봇들마을4단지아파트,031-8017-5575
분당구,백현동,판교종합 동물병원,2010-01-18,경기도 성남시 분당구 동판교로 122 (백현동),경기도 성남시 분당구 백현동 545번지 백현마을 A21-2 나상가 104동,031-8016-7507
분당구,서현동,반려동물암센터,2018-03-05,"경기도 성남시 분당구 황새울로342번길 15, 은성빌딩 3층 301호 (서현동)",경기도 성남시 분당구 서현동 250-6번지 은성빌딩 301호,031-709-5500
분당구,판교동,메르시 동물병원,2018-02-01,"경기도 성남시 분당구 운중로 255, 티에스로드2 201호 (판교동)",경기도 성남시 분당구 판교동 590 티에스로드2 201호,031-707-0701
분당구,이매동,분당우리동물의료센터,2018-01-26,"경기도 성남시 분당구 양현로94번길 19, 새남서울조합상가 202호 (이매동)",경기도 성남시 분당구 이매동 120-6번지 새남서울조합상가 202호,031-705-0175
분당구,구미동,한국동물선진의료연구소(KASMINE) 동물심혈관신장센터,2018-01-05,"경기도 성남시 분당구 미금로 43, 정운빌딩 1층 (구미동)",경기도 성남시 분당구 구미동 204-1번지,031-716-9001
분당구,수내동,서공동물병원,2018-05-30,"경기도 성남시 분당구 내정로 170, 동신파크빌딩 204호 (수내동)",경기도 성남시 분당구 수내동 58-1번지 동신파크빌딩 204호,031-711-2244
분당구,금곡동,에버펫동물병원,2017-11-08,"경기도 성남시 분당구 성남대로 165, 118호 (금곡동)",경기도 성남시 분당구 금곡동 161번지 천사의도시1 오피스텔,031-714-1175
분당구,야탑동,야탑서울동물병원,2017-07-21,"경기도 성남시 분당구 벌말로 33, 206호 (야탑동, 일심조합상가)",경기도 성남시 분당구 야탑동 274-3번지,0505-315-1234
분당구,서현동,미래동물의료센터,2017-07-13,"경기도 성남시 분당구 서현로255번길 1, 1층 (서현동)",경기도 성남시 분당구 서현동 80-1,031-705-2475
분당구,정자동,그레이트 동물병원,2017-06-09,"경기도 성남시 분당구 정자로 80, 1층 (정자동, 정자프라자)",경기도 성남시 분당구 정자동 126-2번지,031-716-7975
수정구,창곡동,스칸디동물병원,2017-06-08,"경기도 성남시 수정구 위례광장로 70 (창곡동, 아트리버푸르지오)",경기도 성남시 수정구 창곡동 530번지,031-759-7579
분당구,구미동,분당필동물병원,2017-05-30,경기도 성남시 분당구 금곡로15번길 1 (구미동),경기도 성남시 분당구 구미동 125-3번지,031-718-7575
분당구,백현동,힐링힐스 동물 치과병원,2017-05-18,경기도 성남시 분당구 동판교로52번길 9-11 (백현동),경기도 성남시 분당구 백현동 603-3,031-708-0078
분당구,구미동,365동물병원 분당점,2017-04-04,"경기도 성남시 분당구 미금일로90번길 32, 125호 (구미동)",경기도 성남시 분당구 구미동 30번지 125호,031-718-0365
분당구,판교동,동물병원 돌봄,2017-03-30,"경기도 성남시 분당구 서판교로 160, 101호 (판교동, 스타식스밸리)",경기도 성남시 분당구 판교동 497번지 101호,031-8016-5559
수정구,수진동,서울동물병원,2017-01-18,"경기도 성남시 수정구 수정로 110, 1층 (수진동)",경기도 성남시 수정구 수진동 53번지,031-721-2423
중원구,금광동,서울동물병원,2006-03-03,경기도 성남시 중원구 희망로 442 (금광동),경기도 성남시 중원구 금광동 7번지,031-741-8119
수정구,복정동,이플동물병원,2006-02-21,경기도 성남시 수정구 복정로 35 (복정동),경기도 성남시 수정구 복정동 694번지,031-751-3985
분당구,정자동,정자프라임동물병원,2005-12-23,"경기도 성남시 분당구 내정로 58, 스포라이프 스포츠센타 111호 (정자동)",경기도 성남시 분당구 정자동 117-1번지 스포라이프 스포츠센타 111호,031-715-8203
중원구,금광동,강남동물병원,2004-08-13,경기도 성남시 중원구 광명로 341 (금광동),경기도 성남시 중원구 금광동 3661,031-741-3012
분당구,판교동,판교 P&P 동물병원,2011-07-20,"경기도 성남시 분당구 서판교로 36, 104호 (판교동)",경기도 성남시 분당구 판교동 577-3번지 104호,031-8017-5558
수정구,창곡동,위례중앙동물의료센터,2018-05-23,"경기도 성남시 수정구 위례광장로 104, 위례 한화 오벨리스크 센트럴스퀘어 (창곡동)",경기도 성남시 수정구 창곡동 505번지 위례 한화 오벨리스크 센트럴스퀘어,031-758-7599
중원구,상대원동,한국동물병원,1994-12-20,"경기도 성남시 중원구 희망로 360, 10호 (상대원동)",경기도 성남시 중원구 상대원동 2999-10번지 10호,031-746-8990
분당구,서현동,서울종합동물병원,1994-06-24,경기도 성남시 분당구 불정로 381 (서현동),경기도 성남시 분당구 서현동 305-1,031-702-5323
분당구,수내동,금산헤르쯔 동물병원,1993-12-21,"경기도 성남시 분당구 돌마로 364, 현대제일상가 21호 (수내동)",경기도 성남시 분당구 수내동 79-2번지 현대제일상가 21호,031-712-2795
분당구,이매동,분당동물병원,1993-07-01,"경기도 성남시 분당구 양현로 126, 미림프라자 104호 (이매동)",경기도 성남시 분당구 이매동 115-1번지 미림프라자 104호,031-705-4144
수정구,단대동,금광동물병원,1991-01-18,경기도 성남시 수정구 산성대로 431 (단대동),경기도 성남시 수정구 단대동 97-3번지,031-731-5511
수정구,창곡동,위례나무동물병원,2016-07-19,"경기도 성남시 수정구 위례동로 147, 106호 (창곡동, 위례건아타워)",경기도 성남시 수정구 창곡동 513-2번지,031-778-8738
수정구,창곡동,아이유동물메디컬센터,2016-06-27,"경기도 성남시 수정구 위례광장로 5, 위례우남역아이파크 3층 301·302·317호 (창곡동)",경기도 성남시 수정구 창곡동 560 위례우남역아이파크,031-604-0975
분당구,정자동,행복이 있는 동물병원 (정자점),2016-05-31,"경기도 성남시 분당구 불곡로 4 (정자동, 리더스프라자)",경기도 성남시 분당구 정자동 219-3번지 43통2반,031-718-8276
분당구,야탑동,아이펫동물병원,2004-07-20,"경기도 성남시 분당구 장미로 78, 시그마3 105호 (야탑동)",경기도 성남시 분당구 야탑동 360-1번지 시그마3 105호,031-781-7501
분당구,금곡동,엔젤동물병원,2004-06-19,"경기도 성남시 분당구 성남대로171번길 17, 씨티밸리 101호 (금곡동)",경기도 성남시 분당구 금곡동 172번지 씨티밸리 101호,031-713-5004
분당구,금곡동,굿모닝펫 동물병원,2004-05-03,"경기도 성남시 분당구 정자일로 55, 108-110호 (금곡동, 분당두산위브아파트)",경기도 성남시 분당구 금곡동 192 분당두산위브아파트 108-110호,031-715-7119
수정구,신흥동,신흥동물병원,2004-04-09,"경기도 성남시 수정구 수정로 226, 창진빌딩 (신흥동)",경기도 성남시 수정구 신흥동 3414번지 창진빌딩,031-732-2423
수정구,창곡동,그레이동물의료센터,2016-12-19,"경기도 성남시 수정구 위례광장로 320, 214호 (창곡동, 아이에스센트럴타워)",경기도 성남시 수정구 창곡동 509-3번지 214호,031-753-0303
분당구,야탑동,분당24시동물의료센터,2016-11-26,"경기도 성남시 분당구 야탑로 24, 101호 (야탑동, 덕인빌딩)",경기도 성남시 분당구 야탑동 537-2번지 101호,031-605-5119
분당구,야탑동,딜리동물병원,2016-10-17,"경기도 성남시 분당구 성남대로 884-9, 101호 (야탑동, 라비앙오피스텔)",경기도 성남시 분당구 야탑동 513-3번지 101호,031-605-1275
중원구,도촌동,도촌 동물병원,2008-05-28,"경기도 성남시 중원구 도촌남로 37, 도촌프라자 109호 (도촌동)",경기도 성남시 중원구 도촌동 568번지 도촌프라자 109호,031-755-5975
분당구,야탑동,분당고은 동물병원,2008-05-02,"경기도 성남시 분당구 매화로 40 (야탑동, 동륜빌딩)",경기도 성남시 분당구 야탑동 291-4번지,031-703-6535
분당구,야탑동,우리들 동물병원,2008-04-17,"경기도 성남시 분당구 야탑로 103, 노블리치2 오피스텔 2층 206호 (야탑동)",경기도 성남시 분당구 야탑동 367-6 노블리치2 오피스텔,031-706-7588
중원구,중앙동,세이브 동물병원,2008-01-30,경기도 성남시 중원구 산성대로 336-3 (중앙동),경기도 성남시 중원구 중앙동 241번지,031-735-5995
분당구,정자동,분당정자 동물병원,2007-09-13,"경기도 성남시 분당구 정자일로 120, 119호 (정자동, 아데나루체 상가 )",경기도 성남시 분당구 정자동 170-1번지 아데나 루체상가 119호,031-712-7275
수정구,태평동,중앙동물병원,2015-03-09,경기도 성남시 수정구 수정로 139 (태평동),경기도 성남시 수정구 태평동 3502번지,031-755-9429
분당구,운중동,어니스트 동물병원,2014-08-06,"경기도 성남시 분당구 운중로113번길 12-5, 1층 (운중동, MM하우스)",경기도 성남시 분당구 운중동 979번지,031-698-4789
분당구,정자동,세인트존스동물병원,2014-07-22,"경기도 성남시 분당구 정자일로 197, 101호 (정자동, 푸르지오씨티 2차)",경기도 성남시 분당구 정자동 16-2번지,031-713-8391
분당구,정자동,웰리스 클리닉,2013-10-07,경기도 성남시 분당구 불정로 134 (정자동),경기도 성남시 분당구 정자동 211번지,031-711-1911
분당구,야탑동,젠(Gen)동물병원,2013-09-30,"경기도 성남시 분당구 양현로 479, 2층 (야탑동)",경기도 성남시 분당구 야탑동 202-3번지,031-752-0075
중원구,상대원동,정동물병원,2013-08-06,경기도 성남시 중원구 희망로 375 (상대원동),경기도 성남시 중원구 상대원동 3005,031-749-7557
수정구,수진동,미래동물의료센터 성남점,2020-04-20,"경기도 성남시 수정구 수정로 130, 창도빌딩 2층 (수진동)",경기도 성남시 수정구 수진동 28-1 창도빌딩,031-757-2475
중원구,성남동,성남다온동물병원,2020-05-19,"경기도 성남시 중원구 광명로 89, 성남 센트럴 푸르지오 시티 1층 134·135호 (성남동)",경기도 성남시 중원구 성남동 1404번지 성남 센트럴 푸르지오 시티,031-759-0242
중원구,금광동,해오름동물병원,2020-04-02,"경기도 성남시 중원구 희망로 402, 지하1층 (금광동)",경기도 성남시 중원구 금광동 113번지,031-747-0406
수정구,창곡동,365동물병원위례점,2020-01-30,"경기도 성남시 수정구 위례동로 153, 에이플타워 205호 (창곡동)",경기도 성남시 수정구 창곡동 513 에이플타워,
수정구,신흥동,휴동물의료센터,2020-03-11,"경기도 성남시 수정구 산성대로 309, 2층 (신흥동, 고려빌딩)",경기도 성남시 수정구 신흥동 2475번지 고려빌딩,
분당구,정자동,분당다원동물병원,2018-08-20,"경기도 성남시 분당구 정자일로 100, 116호 (정자동, 미켈란쉐르빌)",경기도 성남시 분당구 정자동 180번지 미켈란쉐르빌 116호,031-711-6775
분당구,수내동,이레외과동물병원,2019-07-12,"경기도 성남시 분당구 백현로101번길 11, 동현프라자 205호 (수내동)",경기도 성남시 분당구 수내동 20-6 동현프라자 205호,031-605-0190
분당구,운중동,장재영외과동물병원,2019-07-15,"경기도 성남시 분당구 운중로 142, 판교메디칼타워 2층 (운중동)",경기도 성남시 분당구 운중동 940 판교메디칼타워,031-8017-7511
분당구,정자동,더클래스동물메디컬센터,2019-06-09,"경기도 성남시 분당구 성남대로 275, A동 101-1호 (정자동, 삼성아데나팰리스아파트)",경기도 성남시 분당구 정자동 169-1 삼성아데나팰리스아파트 A동 101-1호,031-713-7975
분당구,구미동,24시분당리더스동물의료원,2019-05-17,"경기도 성남시 분당구 성남대로 45, 계영빌딩 202, 203호 (구미동)",경기도 성남시 분당구 구미동 157 계영빌딩 202·203호,031-711-8275
분당구,정자동,분당데이지동물병원,2019-01-10,"경기도 성남시 분당구 내정로 58, 스포라이프 스포츠센타 107호 (정자동)",경기도 성남시 분당구 정자동 117-1번지 스포라이프 스포츠센타 107호,031-715-3575
분당구,백현동,365동판교동물병원,2019-01-27,"경기도 성남시 분당구 판교역로14번길 20, (주)코레드디엔씨 2층 201호 (백현동)",경기도 성남시 분당구 백현동 564-5번지 (주)코레드디엔씨 201호,031-781-7582
